参数1_文本,书名,章节名称
身后一众年轻弟子，自然跟随。,人间有剑,第三章 祁山余孽
“天色已晚，在此休息一夜。”,人间有剑,第三章 祁山余孽
走进庭院，赵师叔脚步不停，只是径直走向散发着微弱火光的破败大殿。,人间有剑,第三章 祁山余孽
月光下，众人的影子不断前移。,人间有剑,第三章 祁山余孽
来到大殿门前，赵师叔止住脚步，看向那微弱火光照着的破败山神塑像，大殿虽说破败，但到底还能遮风挡雨，打量了一番四周之后，赵师叔最后目光落到了那个盘坐在火堆前的布衣少年身上。,人间有剑,第三章 祁山余孽
他的影子被火光拉得十分长，而且随着火光摇曳，他的影子也在不断摆动。,人间有剑,第三章 祁山余孽
“赵师叔，我去把他赶走。”,人间有剑,第三章 祁山余孽
眼见自家师叔站在门前，没有进去，一个年轻弟子低声开口道。,人间有剑,第三章 祁山余孽
赵师叔没有理会，只是对着大殿里说道：“我等一行人赶路至此，眼见天色已晚，便想要在此地休息一夜，叨扰道友了。”,人间有剑,第三章 祁山余孽
听着声音，那布衣少年转过头来，微笑道：“道友请便。”,人间有剑,第三章 祁山余孽
正是离了圣灵山的周迟。,人间有剑,第三章 祁山余孽
赵师叔点点头，领着年轻弟子们进入大殿，在距离周迟数丈远的地方坐下，生了一堆火。,人间有剑,第三章 祁山余孽
众人刚围着赵师叔坐下，便有年轻弟子好奇地看了一眼那边，发现那个盘坐在山神像下的布衣少年，膝间横剑。,人间有剑,第三章 祁山余孽
“还是个剑修？”,人间有剑,第三章 祁山余孽
众年轻弟子听着这话，也都纷纷转头看去，然后眼眸之中，都有些轻蔑之色，有些则是赤裸裸的不屑。,人间有剑,第三章 祁山余孽
赵师叔也看了那边的布衣少年一眼，眼里并无情绪。,人间有剑,第三章 祁山余孽
当世的修行流派里，剑修一脉，虽然因为那桩旧事，声名一下子弱了些，但剑修杀力也的确可怖，若是在别处，遇到剑修，他们怎么也要生出两分慎重。,人间有剑,第三章 祁山余孽
只是在这东洲……剑修，呵呵。,人间有剑,第三章 祁山余孽
“一路行来，可有心得？”,人间有剑,第三章 祁山余孽
赵师叔缓缓开口，考校起来。,人间有剑,第三章 祁山余孽
弟子中，有人抬头看了一眼，却不开口。,人间有剑,第三章 祁山余孽
一弟子沉默片刻，开口道：“赵师叔，东洲荒乱，差中洲远甚。”,人间有剑,第三章 祁山余孽
赵师叔看了一眼那弟子，淡然问道：“何以至此？”,人间有剑,第三章 祁山余孽
“想来是东洲修行之法太过落后，修士境界太低？”,人间有剑,第三章 祁山余孽
赵师叔摇摇头，“不够。”,人间有剑,第三章 祁山余孽
“那便是东洲人心懈怠，无进取之心。”,人间有剑,第三章 祁山余孽
赵师叔再摇头。,人间有剑,第三章 祁山余孽
众弟子里之前抬头那位这才开口，“师叔，理应是那大汤朝的缘故。”,人间有剑,第三章 祁山余孽
那人年纪也不大，眉眼稚嫩，但却有些不同旁人的平静和自信。,人间有剑,第三章 祁山余孽
得到如此答案，赵师叔终于满意点头，赞赏道：“陈郁，你颇有悟性，好生修行，想来能在下次宗门遴选中，进入内门。”,人间有剑,第三章 祁山余孽
听到内门两字，众弟子看向陈郁的目光里便多了不少艳羡之色，他们皆是外门弟子，自然最大的愿望便是拜入内门。,人间有剑,第三章 祁山余孽
陈郁拱手道：“多谢师叔夸赞。”,人间有剑,第三章 祁山余孽
“你等好生努力，在甲子之期之前，也都有机会，但要切记，大道争渡，不进则退，勿要懈怠。”,人间有剑,第三章 祁山余孽
眼见众弟子皆低头之后，赵师叔这才说道：“东洲一洲之地，受大汤朝管辖，但国力羸弱，那位又皇帝一意玄修，荒废朝政，自然压不住一洲之地，这东洲各大宗门，又无实力超群之宗门能维护东洲秩序，如今这般乱象，不足为奇。”,人间有剑,第三章 祁山余孽
“这东洲如此糜乱，要是换我们玉京山来治理，不出半甲子，东洲定然大治。”,人间有剑,第三章 祁山余孽
那弟子笑道：“可惜这一洲百姓了。”,人间有剑,第三章 祁山余孽
“大话！”,人间有剑,第三章 祁山余孽
“我玉京山一山之力，如何能治理一洲之地？！”,人间有剑,第三章 祁山余孽
赵师叔斥责一声，但眉间并无怒意，很快微笑道：“半洲之地，理应还是没什么问题。”,人间有剑,第三章 祁山余孽
众弟子皆呼师叔英明。,人间有剑,第三章 祁山余孽
只有那陈郁开口道：“师叔，刚入山时，弟子感受到一股邪气，有些细微，不知是弟子境界还低，还是离得太远。”,人间有剑,第三章 祁山余孽
众弟子听闻此言，都有些茫然。,人间有剑,第三章 祁山余孽
赵师叔再次赞赏道：“陈郁，你境界有所长进，不错。在此山后数十里，应是有一座邪道宗门，之前我等路过那座村落，家家户户大门紧闭，想来便是本地百姓被那邪宗荼毒日久了。”,人间有剑,第三章 祁山余孽
有弟子不屑道：“这帮宵小傻蛋，从来都本末倒置，做一锤子买卖。”,人间有剑,第三章 祁山余孽
赵师叔笑道：“世上多得是急功近利之辈。”,人间有剑,第三章 祁山余孽
“火有些小了。”,人间有剑,第三章 祁山余孽
眼见眼前火堆里的木柴渐少，有弟子便想去拆一扇窗户，但很快便有同门拉了他一把，笑道：“去找那家伙拿一些。”,人间有剑,第三章 祁山余孽
那弟子看向那个默默盘坐在远处的周迟，也懒得过去，只是喊道：“拿些柴过来！”,人间有剑,第三章 祁山余孽
赵师叔微微抬眼，倒也并未多说。,人间有剑,第三章 祁山余孽
进到这大殿许久，他早已勘知周迟的境界修为，在他看来，境界还凑合，灵台，在这个年纪也算不错，只是他体内气息紊乱的一塌糊涂。,人间有剑,第三章 祁山余孽
这便是东洲的修行之法太过滞后的缘故，注定让他体内气府生不出如他们这般精纯的气机。,人间有剑,第三章 祁山余孽
周迟听到这边的喊话，将膝上的剑悬拿起，抱起自己身边的大半柴禾，便朝着他们走来。,人间有剑,第三章 祁山余孽
等来到这边众人身侧，周迟嗅到一股血腥味道。,人间有剑,第三章 祁山余孽
他微不可查地皱了皱眉。,人间有剑,第三章 祁山余孽
周迟将柴禾放下之后，赵师叔微笑道：“多谢道友。”,人间有剑,第三章 祁山余孽
周迟笑着问道：“听前辈口音，好似不是东洲人氏？”,人间有剑,第三章 祁山余孽
有年轻弟子傲然道：“我们来自中洲！”,人间有剑,第三章 祁山余孽
周迟了然点头，露出一副果然如此的表情，“怪不得，道友一行人如此气度不凡，只能是中洲那些大仙府的弟子才是了！”,人间有剑,第三章 祁山余孽
“但不知诸位道友来东洲有何贵干，不知是否有在下能帮得上的地方？”,人间有剑,第三章 祁山余孽
听着周迟这话，不少弟子一脸不屑，这等穷乡僻壤的小修士，是个会顺杆爬的家伙，倒也不笨。,人间有剑,第三章 祁山余孽
只是他们不曾开口，赵师叔便看了周迟一眼，眼眸里意味深长。,人间有剑,第三章 祁山余孽
“是晚辈多言了。”,人间有剑,第三章 祁山余孽
周迟低头抱拳致歉。,人间有剑,第三章 祁山余孽
低着头，他看了一眼那赵师叔的腰间，有一块玉佩，四四方方，不大，周遭雪白，中间有一条红线。,人间有剑,第三章 祁山余孽
玉佩材质并不珍惜，只是难得，怕是整个天下都难以找出第二块一模一样的。,人间有剑,第三章 祁山余孽
“不碍事，若是道友以后能来中洲，赵某定然与道友把酒言欢……”,人间有剑,第三章 祁山余孽
话音未落，那火苗忽然剧烈摆动起来，好似莫名起了一阵狂风。,人间有剑,第三章 祁山余孽
一道剑气，突然掠起。,人间有剑,第三章 祁山余孽
刹那后，两位玉京山弟子的脑袋骤然搬家。,人间有剑,第三章 祁山余孽
鲜血洒落！,人间有剑,第三章 祁山余孽
这一切发生的太快，谁都没有反应过来。,人间有剑,第三章 祁山余孽
周迟第二剑已出。,人间有剑,第三章 祁山余孽
在他身侧的两位玉京山弟子，身子在顷刻间分成两半。,人间有剑,第三章 祁山余孽
切口平整。,人间有剑,第三章 祁山余孽
而他们说不出半句话，便死在了周迟剑下。,人间有剑,第三章 祁山余孽
赵师叔猛然挥袖，将几块燃烧着的柴禾挑起，撞向周迟。,人间有剑,第三章 祁山余孽
带着火星的木柴掠过，好像要点燃四周一般。,人间有剑,第三章 祁山余孽
周迟脚尖一点，退后数丈，一剑斩开那些燃烧着的木柴。,人间有剑,第三章 祁山余孽
“你疯了？！”,人间有剑,第三章 祁山余孽
幸存的弟子看到同门的脑袋滚落，还有些懵，他们怎么都想不到那个家伙，居然敢突然暴起杀人。,人间有剑,第三章 祁山余孽
只有赵师叔，觉察到了些什么。,人间有剑,第三章 祁山余孽
周迟站在远处，看着赵师叔腰间的那枚玉佩，平静问道：“祁山如何了？”,人间有剑,第三章 祁山余孽
“师叔，他是祁山余孽！”,人间有剑,第三章 祁山余孽
有弟子反应过来，很是吃惊。,人间有剑,第三章 祁山余孽
有弟子反应过来，很是吃惊。,人间有剑,第四章 要你的命
赵师叔一把扯下腰间的玉佩，拿起来看了一眼，眯了眯眼，“就凭一块玉佩，就敢动手杀人，胆子真大啊。”,人间有剑,第四章 要你的命
周迟看了一眼四周，两剑杀了四个玉京山弟子之后，此刻的破庙里，对方算上赵师叔在内，也就只有四人了。,人间有剑,第四章 要你的命
这四人里，除去赵师叔是玉府境外，其余三人，只是方寸境。,人间有剑,第四章 要你的命
修行之道，除去打基础的初时和方寸两境之外，得先筑灵台，再修玉府，如此才能开天门。,人间有剑,第四章 要你的命
“现在不止一块玉佩了。”,人间有剑,第四章 要你的命
祁山余孽四个字一说出来，周迟便知道，祁山多半是已经没了。,人间有剑,第四章 要你的命
赵师叔淡然道：“真是没想到啊，东洲这种偏僻的小地方，祁山那么一座小剑宗，竟然会有你这等人，若是你生在中州，身在我玉京山，倒是会有一份好前途。”,人间有剑,第四章 要你的命
“师叔，此人手黑，只怕是速速杀之才是！”,人间有剑,第四章 要你的命
陈郁在一侧开口，现在还活着的玉京山三位弟子之中，只有他回过神来，看着眼前的那个布衣少年，眼眸深处有些恐惧之色。,人间有剑,第四章 要你的命
“慌什么，不过一区区灵台境剑修，之前靠着下作心思杀了你几个师兄弟，但如今，我让他走不出这座破庙！”,人间有剑,第四章 要你的命
赵师叔大袖一挥，一枚玉符，在从衣袖里飘出，悬停于前，玉符上有朱笔撰写的繁复符文，散发着极为玄妙的气息，但飘到半空中之后，尚未还有什么动作，周迟便动了。,人间有剑,第四章 要你的命
他脚尖点碎一块石砖，整个人直接掠起，带起一道剑气，直接斩向那枚玉符。,人间有剑,第四章 要你的命
玉符毫不意外的被一剑斩开，但气息却在顷刻间，便如同决堤洪水一般，直接便将整座破庙都铺满。,人间有剑,第四章 要你的命
这本就是一张禁地符，就算周迟不出剑，也是会碎裂的。,人间有剑,第四章 要你的命
“果然是这等偏僻之地的修士，眼光也太浅了些。”,人间有剑,第四章 要你的命
赵师叔看着周迟，冷笑不已，布下此符，只是为了不让周迟走脱而已。,人间有剑,第四章 要你的命
而就在他说这句话的时候，周迟的剑又到了。,人间有剑,第四章 要你的命
他握住剑柄，刺向赵师叔，擒敌先擒王。,人间有剑,第四章 要你的命
而且这一剑，剑气汇聚于剑尖，力求损耗最小，建功最大。,人间有剑,第四章 要你的命
赵师叔嗤笑一声，伸出一指，指尖聚起一粒玄光，迎上那一剑。,人间有剑,第四章 要你的命
两道气息在刹那之后相撞，没有黄钟大吕那般剧烈的响声，只有一道几乎微不可查的闷哼声。,人间有剑,第四章 要你的命
周迟身躯在顷刻间，便如同断线风筝一般朝后方跌落，虽说周迟在半空中，反手将剑插入地面，也只是将他倒退的轨迹改变一些而已，看样子，还是败势尽显。,人间有剑,第四章 要你的命
赵师叔面无表情，“区区萤火，也敢与皓月争辉？”,人间有剑,第四章 要你的命
但下一刻，他脸上忽然浮现出一抹惊怒，“尔敢？！”,人间有剑,第四章 要你的命
他身形骤动，在原地留下一道残影，朝着周迟追去。,人间有剑,第四章 要你的命
原来周迟借着赵师叔的“一臂之力”已经悄然来到了那剩余的三个玉京山弟子身侧了。,人间有剑,第四章 要你的命
一剑斩出，三位玉京山弟子，又有两人直接被周迟将脑袋砍了下来。,人间有剑,第四章 要你的命
一剑断首！,人间有剑,第四章 要你的命
唯余陈郁。,人间有剑,第四章 要你的命
陈郁眼睁睁看着那个布衣少年在自己身侧斩下两个同门的脑袋，整个人被吓得一动都不敢动。,人间有剑,第四章 要你的命
但周迟好似有意无意地放过了他。,人间有剑,第四章 要你的命
“原来是个玉府境，怪不得胆子如此大。”,人间有剑,第四章 要你的命
此刻，赵师叔已到陈郁身后，一搭手，直接将陈郁扯了出去，而下一刻，他便看到了一道剑光。,人间有剑,第四章 要你的命
极快！,人间有剑,第四章 要你的命
赵师叔脸色不变，仍旧一指点出。,人间有剑,第四章 要你的命
玄光再起。,人间有剑,第四章 要你的命
只是这一次，周迟这一剑，直接斩碎那道玄光，剑势更是如同燎原火，越发猛烈，赵师叔瞳孔在一瞬间放大不已。,人间有剑,第四章 要你的命
“你……不是玉府境？！”,人间有剑,第四章 要你的命
他失声开口，除去惊骇于眼前人的境界之外，让他更为惊骇的，则是他那在短暂时间里展现出来的城府心机。,人间有剑,第四章 要你的命
先是示弱，而后暴起杀人，之后隐藏境界，借势杀人。,人间有剑,第四章 要你的命
最重要的是，他不知道对方的具体境界，因此连本命法器都还没有祭出，要是早知道对方的真实境界，他断不会如此轻慢。,人间有剑,第四章 要你的命
一柄铁剑，先是刺碎赵师叔身上的那件青袍，而后直接洞穿他的心脏。,人间有剑,第四章 要你的命
周迟握住剑柄，看着眼前的赵师叔双眼，后者一脸不可置信，张了张嘴，“你是天……”,人间有剑,第四章 要你的命
但这句话没能说完，因为周迟的剑很快便从他的身上抽了出来，斩向了他的头颅。,人间有剑,第四章 要你的命
一颗脑袋，直接滚落下来。,人间有剑,第四章 要你的命
“说这么多话做什么？我一般杀人的时候，话就不多。”,人间有剑,第四章 要你的命
轰然一声。,人间有剑,第四章 要你的命
赵师叔的无头尸体，就这么重重倒了下去。,人间有剑,第四章 要你的命
做完这一切，周迟弯腰捡起赵师叔手中的玉佩，在他身上摸索片刻，拿起一个不大不小的罗盘。,人间有剑,第四章 要你的命
看着那罗盘，周迟沉默了片刻。,人间有剑,第四章 要你的命
之后这才看向那个此刻呆若木鸡的陈郁。,人间有剑,第四章 要你的命
后者真被吓傻了，不到一刻钟的时间，自家师叔和一众师兄弟，就这么死在了一个布衣少年手上？,人间有剑,第四章 要你的命
“你如果不是真被吓傻了，就要好好想想怎么才能活下来。”,人间有剑,第四章 要你的命
周迟提着剑，走向眼前的陈郁，早在看到那块玉佩的时候，他便构思好了之后的一切，先杀谁，再杀谁，最后留下谁，全在他的计划之内。,人间有剑,第四章 要你的命
至于为何选择陈郁，其实很简单，之前赵师叔考校诸弟子，此人表现，周迟都看在眼里。,人间有剑,第四章 要你的命
明明第一时间便有答案，却藏着不说，而要等众弟子都答错之后，这才开口。,人间有剑,第四章 要你的命
有这样心思之人，注定知道审时度势。,人间有剑,第四章 要你的命
陈郁回过神来，倒是真的很识时务，“我们来自中州玉京山，那位是外门教习师叔，叫赵湖。”,人间有剑,第四章 要你的命
周迟没说话，只是摇了摇手中的玉佩。,人间有剑,第四章 要你的命
这块玉佩周迟记得很清楚，是祁山宗主的印信，若不是，他断然不可能一眼便认出。,人间有剑,第四章 要你的命
陈郁看着周迟，欲言又止。,人间有剑,第四章 要你的命
周迟不说话，只是提着剑朝着陈郁走去。,人间有剑,第四章 要你的命
“别过来，我说……我说，山中宗主夫人生平最爱珍稀灵鸟，为此在山中建有一座万鸟园，下月便是她六百岁寿诞，各峰峰主都派人下山找寻珍稀灵鸟，为宗主夫人贺寿。紫湖峰得知东洲有一只玄凤鸟……”,人间有剑,第四章 要你的命
陈郁一五一十开口，不敢有半点隐瞒。,人间有剑,第四章 要你的命
“既然只是要鸟，为何要灭祁山？”,人间有剑,第四章 要你的命
周迟记得，祁山宗主的小女儿，是在数年前生辰之时，祁山宗主曾为她带回一只玄凤鸟，作为礼物。此鸟生得好看，胜在珍稀，但除此之外，其实别无他用。,人间有剑,第四章 要你的命
“这……我也不知道啊……我只是个外门弟子，这趟出门，只是为了长长见识的……”,人间有剑,第四章 要你的命
陈郁脸色难看，他自己也纳闷，为何宗门要为了一只鸟大开杀戒，本来只要拿出玉京山的名头，祁山再舍不得，也得乖乖奉上才是，根本用不着杀人的，更何况是灭宗。,人间有剑,第四章 要你的命
“现在除去你们之外，其余玉京山的修士，都在何处，什么境界？”,人间有剑,第四章 要你的命
“紫湖峰的内门弟子和几位师叔，早已返回中州了，只有我们这几人，跟着赵师叔游历……”,人间有剑,第四章 要你的命
“把玉京山所有去过祁山的修士名字和特征都告诉我。”,人间有剑,第四章 要你的命
陈郁老老实实把知道的都说了一遍。,人间有剑,第四章 要你的命
周迟盯着他的眼睛，思考片刻，问道：“除去玉京山之外，东洲可有宗门参与此事？”,人间有剑,第四章 要你的命
“这……我不知道啊……”,人间有剑,第四章 要你的命
陈郁疯狂摇头，他一个小小的外门弟子，上山的时候，那座祁山已经没了活人，他只看到赵师叔从一具尸体上翻找出来一块玉佩，然后便吩咐他们点火。,人间有剑,第四章 要你的命
下山的时候，身后是一片火海。,人间有剑,第四章 要你的命
“你不知道，倒也正常。”,人间有剑,第四章 要你的命
周迟点点头，似乎是认可了这个说法。,人间有剑,第四章 要你的命
“那我……”,人间有剑,第四章 要你的命
陈郁有些激动，只是话才刚开口，他脖颈处，便骤然多出一条血线，鲜血不断溢出。,人间有剑,第四章 要你的命
他一脸不可置信地朝着后面倒下去。,人间有剑,第四章 要你的命
周迟盯着他的尸体，也有些茫然。,人间有剑,第四章 要你的命
“我没说过你把知道的事情都说出来就能活，你做出这个表情做什么？”,人间有剑,第四章 要你的命
……,人间有剑,第四章 要你的命
泗水府，祁山。,人间有剑,第四章 要你的命
有三人，在一处树荫下，看着眼前那座火势消散，已成废墟的祁山。,人间有剑,第四章 要你的命
站在最前面的中年男人身着一身青衣，身形瘦削，但一双眸子里时不时冒出些精光。,人间有剑,第四章 要你的命
“守了三天，没人回来，你所说的那个人，是得到消息，然后销声匿迹了？”,人间有剑,第四章 要你的命
青衣男人看着那还时不时冒出黑烟的祁山，淡淡开口。,人间有剑,第四章 要你的命
身后有一个矮小的中年男人，身着一身灰布长衫，一脸苦笑，“张道友，我们仔细看过，的确差了玄照的尸体，我们上山之时，他肯定不在山上，此子是东洲有名的剑道天才，年轻一代里，只论剑道修为，东洲无人可以比肩，要是让他侥幸藏起来，往后我们宝祠宗，只怕麻烦不少。”,人间有剑,第四章 要你的命
“且不说什么所谓东洲年轻一代的第一剑道天才有多厉害，就说你们一座宝祠宗，难不成还怕一个年轻人不成？”,人间有剑,第四章 要你的命
青衣男人摇摇头，讥笑道：“要真如此，也怪不得你们会使这等手段。”,人间有剑,第四章 要你的命
“只是他一个人，我们自然不惧，只是张道友，今日的事情，要是真有他这么个余孽苟活，那么以后事情传出去，玉京山的名声只怕也要受损，还是劳烦张道友，咱们再等等，等他出现，将其一网打尽，以绝后患！”,人间有剑,第四章 要你的命
