参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本,书名,章节名称
,,这是三年前陆夜的神魂进入域外战场时，所领取的一块铭牌，一直携带在身上。,,,,万仙来朝,第1章 灵堂还魂
,,“嗯？”,,,,万仙来朝,第1章 灵堂还魂
,,陆夜正欲坐起身来，忽地察觉到不对劲。,,,,万仙来朝,第1章 灵堂还魂
“我这是……在棺材里？！”,3,,,,,万仙来朝,第1章 灵堂还魂
,,还不等想明白，一阵念诵悼词的悲恸声音在外边响起：,,,,万仙来朝,第1章 灵堂还魂
“陆伯崖，宗族太上大长老，金台境修为，贪狼关一役中战死，为国牺牲！”,4,,,,,万仙来朝,第1章 灵堂还魂
“陆叔云，宗族太上二长老，金台境修为，贪狼关一役中战死，为国牺牲！”,2,,,,,万仙来朝,第1章 灵堂还魂
“陆长青……”,1,,,,,万仙来朝,第1章 灵堂还魂
……足足十八个死讯一一公布！,2,,,,,万仙来朝,第1章 灵堂还魂
,,爷爷战死，为国牺牲！？,,,,万仙来朝,第1章 灵堂还魂
,,在听到第一个死讯时，陆夜便如遭雷击。,,,,万仙来朝,第1章 灵堂还魂
直至听完足足十八个死讯，陆夜的心被狠狠攥住！,2,,,,,万仙来朝,第1章 灵堂还魂
陆家那些老一辈，怎会全都战死？,1,,,,,万仙来朝,第1章 灵堂还魂
,,陆夜努力让自己冷静，扩散感知力量，一幕灵堂祭奠的景象随之映现——,,,,万仙来朝,第1章 灵堂还魂
,,灵堂外，十九具棺材并列一排。,,,,万仙来朝,第1章 灵堂还魂
灵堂内，供桌上摆设着新添的十九个灵位。,1,,,,,万仙来朝,第1章 灵堂还魂
,,雪白的帷布垂挂灵堂四周，一个巨大的黑色“奠”字摆在中央。,,,,万仙来朝,第1章 灵堂还魂
,,陆家所有族人披麻戴孝，跪伏在地。,,,,万仙来朝,第1章 灵堂还魂
,,香烛燃烧，纸钱飞洒。,,,,万仙来朝,第1章 灵堂还魂
,,一个老者神色悲戚地念着最后一个悼词：,,,,万仙来朝,第1章 灵堂还魂
,,“陆夜，家主次子，宗族长辈一致钦定的少主！”,,,,万仙来朝,第1章 灵堂还魂
,,“三岁，入修炼之门，破境如破竹。”,,,,万仙来朝,第1章 灵堂还魂
“六岁，擒杀恶虎、手撕熊罴。”,4,,,,,万仙来朝,第1章 灵堂还魂
“九岁，跻身“大乾奇才榜”之上，与世家秦氏嫡女订亲，名噪苍州。”,4,,,,,万仙来朝,第1章 灵堂还魂
,,“十四岁，通过秋闱考核，连中三元，成为大乾三百年来最年轻的状元郎！”,,,,万仙来朝,第1章 灵堂还魂
“当今陛下亲口赞誉‘陆家麒麟儿，举世称无双’！我们陆家的宗族品阶，也因此事破格提升一品！,1,,,,,万仙来朝,第1章 灵堂还魂
“叹，天妒英才！三年前，陆夜遭遇祸事，在昏睡三年后，于今日辰时逝去……”,3,,,,,万仙来朝,第1章 灵堂还魂
,,听到陆夜的悼词，灵堂附近响起一阵更大更悲切的哭声。,,,,万仙来朝,第1章 灵堂还魂
,,每个人神色愈发悲痛。,,,,万仙来朝,第1章 灵堂还魂
二少爷若还活着，宗族哪怕发生再大的惨祸，也绝对有重新崛起的希望！,1,,,,,万仙来朝,第1章 灵堂还魂
,,可惜……,,,,万仙来朝,第1章 灵堂还魂
,,陆夜却很惊愕，我死了？,,,,万仙来朝,第1章 灵堂还魂
很快，陆夜感知到，灵堂十九个灵位中，有一个赫然写着自己的名字。,1,,,,,万仙来朝,第1章 灵堂还魂
而自己就躺在灵堂其中一个棺材内！,1,,,,,万仙来朝,第1章 灵堂还魂
“难道天要亡我陆家？”,1,,,,,万仙来朝,第1章 灵堂还魂
,,有人悲痛大呼，“经此祸事，咱们陆家战力最顶尖的一批老人都已牺牲，这等于毁掉了宗族赖以生存的脊梁柱啊！”,,,,万仙来朝,第1章 灵堂还魂
,,“我只想知道，如今咱们陆家，究竟谁来主持大局？”,,,,万仙来朝,第1章 灵堂还魂
,,“依照家规，宗族大权由嫡系执掌，自然是大少爷来主持大局！”,,,,万仙来朝,第1章 灵堂还魂
有人摇头反对道：“大少爷虽是嫡系长子，却身患顽疾，无法修行，怕是不合适来主持大局。”,1,,,,,万仙来朝,第1章 灵堂还魂
,,许多人暗叹，这是事实，相比曾惊艳无双的二少爷陆夜，大少爷陆霄俨然和废人没区别。,,,,万仙来朝,第1章 灵堂还魂
“如今，宗族一众老人战死，家主夫妇消失多年，二少爷也已逝去，自然该有实力的人站出来主持大局！”,1,,,,,万仙来朝,第1章 灵堂还魂
,,“我提议，由大执事主持大局！如今他的资历最老！”,,,,万仙来朝,第1章 灵堂还魂
“我提议三执事，他实力最强！”,1,,,,,万仙来朝,第1章 灵堂还魂
,,“我提议六叔，他做事最公道！”,,,,万仙来朝,第1章 灵堂还魂
……一时间，灵堂内外变得嘈杂之极。,1,,,,,万仙来朝,第1章 灵堂还魂
,,“够了！”,,,,万仙来朝,第1章 灵堂还魂
,,蓦地，一个身着白色缟衣，清丽绝美的女子冷冷开口。,,,,万仙来朝,第1章 灵堂还魂
,,“这里是灵堂，祭奠仪式还没结束，长辈尸骨未寒，你们就按捺不住了？”,,,,万仙来朝,第1章 灵堂还魂
,,所有人噤若寒蝉，灵堂气氛沉寂下去。,,,,万仙来朝,第1章 灵堂还魂
陆夜认出，那缟衣女子，乃是大哥陆霄的妻子，自己的大嫂潘盈袖，来自苍州潘氏一族。,10,,,,,万仙来朝,第1章 灵堂还魂
潘家乃千年世家，钟鸣鼎食，底蕴和权势远在陆家之上。,1,,,,,万仙来朝,第1章 灵堂还魂
而大嫂不止是潘家的掌上明珠，更是苍州灵枢道宗的圣女，身份贵不可言！,2,,,,,万仙来朝,第1章 灵堂还魂
,,“有大嫂帮着大哥，倒是可以镇住家族那些族人。”,,,,万仙来朝,第1章 灵堂还魂
,,陆夜暗松一口气。,,,,万仙来朝,第1章 灵堂还魂
,,“一个宗族若群龙无首，内部必生大乱！”,,,,万仙来朝,第1章 灵堂还魂
,,一身缟衣的潘盈袖眸光清冷，扫视陆家族人，道，,,,,万仙来朝,第1章 灵堂还魂
,,“且不谈谁来主持大局，我把丑话说前边，谁敢趁机作乱，争抢宗族权柄和财产，我必杀之！”,,,,万仙来朝,第1章 灵堂还魂
,,声音回荡灵堂内外。,,,,万仙来朝,第1章 灵堂还魂
,,无人敢吭声，全都被潘盈袖身上散发出的凌厉威势震慑。,,,,万仙来朝,第1章 灵堂还魂
,,陆夜暗暗点头，认可大嫂的做法，只要宗族不内乱，一切好说。,,,,万仙来朝,第1章 灵堂还魂
,,而此时，三执事陆山不着痕迹地瞥了潘盈袖一眼，忽地站出来，沉声道：,,,,万仙来朝,第1章 灵堂还魂
,,“少夫人，有您在，宗族断不会发生内乱，但，宗族还有外患！”,,,,万仙来朝,第1章 灵堂还魂
,,许多人内心沉重。最近有传言说，天河郡城的李家、方家等宗族势力要联合一起，瓜分陆家的势力地盘，把陆家彻底踩在脚下！,,,,万仙来朝,第1章 灵堂还魂
,,陆山继续道：“不过，若有大夫人站出来主持大局，必可力挽狂澜，保全陆家！”,,,,万仙来朝,第1章 灵堂还魂
,,此话一出，全场哗然。,,,,万仙来朝,第1章 灵堂还魂
谁都清楚，少夫人潘盈袖背靠潘家和灵枢道宗，若有她坐镇，自可以缓解陆家困境。,1,,,,,万仙来朝,第1章 灵堂还魂
,,可潘盈袖毕竟是外戚，不是陆家嫡系血亲！,,,,万仙来朝,第1章 灵堂还魂
,,“行了，就是你们答应，我也不答应！”,,,,万仙来朝,第1章 灵堂还魂
,,潘盈袖摇头道：“我一个女人，不宜抛头露面，若这么做，外人注定会笑话陆家无人，辱没门风。”,,,,万仙来朝,第1章 灵堂还魂
,,众人面面相觑，都很意外。,,,,万仙来朝,第1章 灵堂还魂
,,陆山沉声道：“那就由大少爷主持大局，有少夫人辅佐，自可以为宗族排忧解难！”,,,,万仙来朝,第1章 灵堂还魂
,,许多人点头，这倒是个办法。,,,,万仙来朝,第1章 灵堂还魂
,,可也有人皱眉，这不就是把大少爷视作了傀儡？,,,,万仙来朝,第1章 灵堂还魂
,,大少爷陆霄坐在那，自始至终对其他事不闻不问。,,,,万仙来朝,第1章 灵堂还魂
他目光怔怔地看着弟弟陆夜的棺材，神色悲伤，无声泪流，攥在右手的祖传铜印深陷掌心，快要挤破血肉。,3,,,,,万仙来朝,第1章 灵堂还魂
,,一个银袍青年忽地嗤笑道：“你们陆家的祸事，凭什么让我潘家帮忙？就因为我姐来自潘家？可笑！”,,,,万仙来朝,第1章 灵堂还魂
他叫潘云锋，是潘盈袖的亲弟弟。,1,,,,,万仙来朝,第1章 灵堂还魂
,,一下子，陆家众人神色变得不自在。,,,,万仙来朝,第1章 灵堂还魂
,,的确，仅仅因为潘盈袖嫁入陆家，就要潘家无条件地帮忙，凭什么？,,,,万仙来朝,第1章 灵堂还魂
潘盈袖看了弟弟一眼，道：“我倒是有个主意，暂且由我弟弟潘云锋来担任陆家少主，主持大局，如此一来，潘家必会全力帮忙！”,1,,,,,万仙来朝,第1章 灵堂还魂
,,让潘云锋当陆家少主？,,,,万仙来朝,第1章 灵堂还魂
,,众人无不惊愕，差点怀疑听错，这何其荒诞！,,,,万仙来朝,第1章 灵堂还魂
,,陆夜眉头悄然皱起，不对劲！,,,,万仙来朝,第1章 灵堂还魂
,,“我弟弟最受潘家长辈器重，有他主持陆家大局，无论发生何事，潘家断不会坐视不管！”,,,,万仙来朝,第1章 灵堂还魂
,,潘盈袖语气不疾不徐道，“更何况我弟弟只是暂时成为陆家少主罢了，以后自会把位置还给陆家。”,,,,万仙来朝,第1章 灵堂还魂
潘云锋冷笑道：“姐，我可不稀罕什么陆家少主之位，还是让他们自生自灭吧！”,2,,,,,万仙来朝,第1章 灵堂还魂
,,啪！,,,,万仙来朝,第1章 灵堂还魂
潘盈袖一巴掌打在潘云锋脸上，厉声道：“我早已是陆家人！陆家的事，就是我的事，这个忙，你必须帮！”,2,,,,,万仙来朝,第1章 灵堂还魂
,,潘云锋捂着脸闭嘴。,,,,万仙来朝,第1章 灵堂还魂
,,一些陆家族人都被惊到。,,,,万仙来朝,第1章 灵堂还魂
,,“无需再废话，唯有如此，才能化解陆家危机！”,,,,万仙来朝,第1章 灵堂还魂
潘盈袖眸光扫视陆家众人，一字一顿道，“我最后只问一句，谁赞成，谁反对？”,7,,,,,万仙来朝,第1章 灵堂还魂
,,陆家众人神色变幻，隐约明白过来，心中悲愤、苦涩、不甘、无奈，不一而足。,,,,万仙来朝,第1章 灵堂还魂
而此时，一直盯着弟弟陆夜棺材默默落泪的陆霄，终于扭头，看了妻子潘盈袖一眼。,2,,,,,万仙来朝,第1章 灵堂还魂
那眼神中除了浓烈的厌憎，还有深深的无力和悲哀。,1,,,,,万仙来朝,第1章 灵堂还魂
陆夜脑海则浮现八个字：,1,,,,,万仙来朝,第1章 灵堂还魂
外戚篡权，鸠占鹊巢。,2,,,,,万仙来朝,第1章 灵堂还魂
,,原来，这才是大嫂真正的目的！,,,,万仙来朝,第1章 灵堂还魂
,,灵堂中一片死寂，都被潘盈袖的威势震慑。,,,,万仙来朝,第1章 灵堂还魂
,,气氛压抑到极致，让人几欲窒息。,,,,万仙来朝,第1章 灵堂还魂
,,砰！,,,,万仙来朝,第1章 灵堂还魂
,,蓦地，一声巨响。,,,,万仙来朝,第1章 灵堂还魂
灵堂一口棺材的棺盖四分五裂。,2,,,,,万仙来朝,第1章 灵堂还魂
,,一只白皙大手从棺材内伸出来。,,,,万仙来朝,第1章 灵堂还魂
“我反对！”,11,,,,,万仙来朝,第1章 灵堂还魂
——,1,,,,,万仙来朝,第1章 灵堂还魂
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,,万仙来朝,第1章 灵堂还魂
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,“我艹！诈尸？”,3,,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,潘云锋猛地跳脚。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,众人都被惊到，目光齐齐看过去。,1,,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,灵堂内香烛青烟弥漫，雪白帷布飘动，破碎的棺盖散落一地，一个玄衣少年缓缓从棺材中站起。,1,,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,他身影挺拔修长，肤色白皙，俊秀的脸庞棱角分明。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,供桌上的烛光洒在少年身上，光影交错，平添一丝神秘虚幻。,1,,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,赫然是今天辰时逝世的陆夜！,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“是二少爷！他又活回来了！”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“这不是做梦吧？”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“我就知道二少爷命硬，老天爷都收不走！”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,……这一刻，哗然四起，陆家族人欣喜若狂。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,“姐，你看到了么，那家伙诈尸了！”,2,,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,潘云锋瞠目道。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“不必担心，一切有我。”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,潘盈袖面对弟弟时，眸光温婉柔和，语气中尽显自信。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,只要不是那些陆家老家伙诈尸，只一个陆夜，掀不起风浪！,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“哥，我先去给爷爷他们上香。”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜走出棺材，到大哥陆霄面前，轻轻拍了拍陆霄手臂。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,凝视着近在咫尺的弟弟，陆霄恍如做梦，激动得嘴唇颤抖，语无伦次道：“好，好，好！”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜强自按捺住心中翻涌的情绪，转身来到灵位前，插上三炷香点燃，在供桌前叩首于地。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,看着跪在那祭奠的玄衣少年，陆家族人从激动狂喜中渐渐安静下来。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,二少爷昏睡三年，死而复生，让他们重新看到了希望！,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,“爷爷，各位长辈，我从域外战场带回了先祖所留的‘玄金玉牒’，足可开启祖地秘境，可你们却再看不到了……”,1,,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜跪在那，强忍心中悲伤，心中低语。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“不管你们是如何战死，他日我必为你们报仇！”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“你们放心，陆家有我，天，不会塌！”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,当一袭玄衣的少年站起身时，神色已平静如湖，再无波澜。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,而此时，潘盈袖终于开口：“二弟死而复生，是咱们陆家天大的喜事，可我不明白，二弟为何要反对我的提议。”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜转身看向大嫂，不假思索道：“潘家愿意帮陆家，我岂会拒绝？”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,下一刻，就见陆夜直接下达命令：,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“传出去，以我大嫂的名义宣布，以后我陆家有潘家罩着！谁敢趁火打劫，先掂量掂量后果！”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“记住，要让天河郡城所有人知道！”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“是！”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,一个机灵的族人领命而去。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,潘盈袖和潘云锋皆错愕。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,谁给他先斩后奏的胆子？,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,当想阻拦时，已来不及，姐弟俩脸色都阴沉下来。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“大嫂别多想，我反对的，是把少族长位置让出去！”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜认真道，“我是宗族长辈钦定的少主，如今我既然还活着，自当担起少主的职责！”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“陆夜，你还不明白么？”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,潘盈袖秀眉皱起，语气变得凌厉，“只有我弟弟担任陆家少主，潘家才会尽全力帮咱们化解危机！“,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“你若真替家族着想，就该主动让位！而不是为了一己之私，陷宗族于危难之中！”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,说完，她不着痕迹地瞥了一眼人群中的三执事陆山。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,陆山当即站出来，沉声道：“少夫人说的不错！”,1,,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,旋即，他看向陆夜，苦口婆心劝道，“二少爷，若无潘家帮忙，咱们陆家必将沦为盘中餐，被人瓜分！为了家族，你姑且让出少主位置，有何不可？”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“陆山，你在说什么！！”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,许多陆家族人大怒。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆山刚才一直在帮潘盈袖说话，恨不能把宗族大权拱手相让。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,如今二少爷都已活过来，陆山竟还这么做，让谁能不恼？,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“既然大嫂把话挑明了，那我也代表陆家表个态。”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,没有理会陆山，陆夜盯着大嫂，一字一顿道，“无论谁想染指陆家的权柄，先过我陆夜这一关！”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,“不识好歹！”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,潘盈袖眼神骤然变得幽冷慑人，厉声道，“你昏睡三年而死，如今是人是鬼都不知道，能代表整个陆家？”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,任谁都看出，潘盈袖怒了！,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,可就在这一刻——,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,“能！”,1,,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆家一众族人齐齐大喝。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,一个字，平地起惊雷，响彻灵堂内外，震得屋顶瓦片簌簌作响。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,潘盈袖错愕，又惊又怒，根本没想到，陆家上下会如此认可陆夜，甚至不惜和自己对峙！,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,潘云锋更是浑身一哆嗦，脸都白了，被陆家族人上下一心的恐怖气势所慑。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,“你们疯了！跟着起什么乱！少夫人是在帮我们！没有潘家支援，陆家拿什么化解危机？”,1,,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,三执事陆山气急败坏，连连跺脚，“二少爷，你……”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,锵！,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,一把长刀出现陆夜掌间，刀尖直抵陆山咽喉。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,潘盈袖双眸微眯，盯着陆夜，“你动他试试，我……”,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,噗！,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,伴随一抹泛着绯红色的刀光一闪。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,陆山的头颅抛空而起！,6,,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,滚烫刺眼的鲜血随之喷洒四周。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,他的身躯砰的一声倒在地上，头颅滚落一侧，满脸惊愕。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,“逝了，大嫂还要什么要说的？”,5,,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,旁边，十七岁的陆夜身影挺拔，玄衣如墨，手中三尺刀锋在淌血，滴滴答答落在地上。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,一些鲜血洒在少年脸庞，给他俊秀的五官平添几分凶厉气息。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,潘盈袖玉容一阵变幻，连她被陆夜的狠辣惊到。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,“对宗族忠诚不绝对，就是绝对不忠诚，陆山，死不足惜！”,6,,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,陆夜抬起指尖，轻轻抹掉脸庞上沾染的血水。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,所有人瞪大眼睛，愣在那。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,修炼一道的最初阶段，分作引灵、紫府、金台、玄炉、黄庭五大境界。,7,,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,每一境之间各有神妙，相差悬殊，判若鸿沟。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,第一境“引灵”分作九重。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,第二境“紫府”分作九炼。,2,,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,三执事陆山，乃是紫府三炼修为，已是陆家的精锐干将。,万仙来朝,第2章 谁赞成，谁反对
【ps：新书来了！诸君，好久不见，见棺发财！】,36,,,,而在人们印象中，二少爷是引灵第九重修为，并且已昏睡三年之久，还不知修为是否受损。,万仙来朝,第2章 谁赞成，谁反对
