震级,发震时刻,纬度,经度,深度,参考位置,地址链接
4.0,2024-10-24 05:11:18,32.49,90.28,10,西藏那曲市双湖县,https://news.ceic.ac.cn/CC20241024051119.html
3.5,2024-10-21 09:17:58,24.62,120.07,10,台湾海峡中部,https://news.ceic.ac.cn/CD20241021091758.html
3.2,2024-10-21 06:54:33,29.80,92.24,10,西藏拉萨市墨竹工卡县,https://news.ceic.ac.cn/CC20241021065433.html
4.4,2024-10-16 21:58:21,24.03,121.71,36,台湾花莲县海域,https://news.ceic.ac.cn/CD20241016215822.html
4.1,2024-10-14 21:17:14,24.18,121.96,28,台湾花莲县海域,https://news.ceic.ac.cn/CD20241014211714.html
4.1,2024-10-13 19:36:31,24.08,121.51,10,台湾花莲县,https://news.ceic.ac.cn/CD20241013193631.html
3.1,2024-10-11 03:27:49,32.83,82.20,10,西藏阿里地区革吉县,https://news.ceic.ac.cn/CD20241011032749.html
3.0,2024-10-10 17:51:32,28.41,104.82,12,四川宜宾市珙县,https://news.ceic.ac.cn/CD20241010175133.html
4.5,2024-10-10 01:52:51,28.12,105.13,10,四川宜宾市兴文县,https://news.ceic.ac.cn/CC20241010015251.html
2.5,2024-10-08 10:25:35,32.33,104.91,14,四川广元市青川县,https://news.ceic.ac.cn/CC20241008102535.html
3.7,2024-10-06 16:48:34,23.98,118.68,18,台湾海峡中部,https://news.ceic.ac.cn/CD20241006164835.html
2.8,2024-10-06 07:43:33,29.76,101.12,8,四川甘孜州雅江县,https://news.ceic.ac.cn/CD20241006074334.html
3.6,2024-10-05 11:33:18,30.64,84.55,10,西藏阿里地区措勤县,https://news.ceic.ac.cn/CD20241005113319.html
3.4,2024-10-01 10:58:34,32.97,98.41,8,四川甘孜州石渠县,https://news.ceic.ac.cn/CD20241001105834.html
3.2,2024-09-28 01:52:25,34.45,86.14,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CC20240928015225.html
3.3,2024-09-24 12:36:28,29.52,104.12,8,四川乐山市井研县,https://news.ceic.ac.cn/CC20240924123628.html
3.8,2024-09-22 00:58:09,31.56,88.37,10,西藏那曲市申扎县,https://news.ceic.ac.cn/CC20240922005809.html
4.5,2024-09-21 18:51:09,24.30,121.60,20,台湾花莲县,https://news.ceic.ac.cn/CC20240921185109.html
4.2,2024-09-18 23:09:51,23.86,122.47,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240918230951.html
3.6,2024-09-14 09:16:36,28.08,104.84,10,四川宜宾市珙县,https://news.ceic.ac.cn/CC20240914091636.html
4.7,2024-09-14 02:29:51,31.40,86.53,14,西藏那曲市尼玛县,https://news.ceic.ac.cn/CC20240914022951.html
3.6,2024-09-13 20:27:17,33.66,85.36,26,西藏阿里地区改则县,https://news.ceic.ac.cn/CC20240913202717.html
3.8,2024-09-13 18:01:08,34.01,82.21,10,西藏阿里地区日土县,https://news.ceic.ac.cn/CC20240913180108.html
3.8,2024-09-13 06:04:16,31.75,85.36,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CC20240913060416.html
4.7,2024-09-07 13:16:48,23.88,121.80,20,台湾花莲县海域,https://news.ceic.ac.cn/CC20240907131648.html
3.5,2024-09-06 18:21:14,34.57,83.71,10,西藏阿里地区改则县,https://news.ceic.ac.cn/CC20240906182114.html
3.8,2024-09-04 04:34:40,34.53,83.68,10,西藏阿里地区改则县,https://news.ceic.ac.cn/CC20240904043440.html
5.0,2024-09-02 16:26:24,23.90,121.73,20,台湾花莲县海域,https://news.ceic.ac.cn/CC20240902162624.html
4.0,2024-09-01 02:21:40,23.87,121.70,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240901022140.html
3.1,2024-08-31 18:40:18,28.08,105.15,10,四川宜宾市兴文县,https://news.ceic.ac.cn/CC20240831184018.html
4.0,2024-08-29 04:14:52,24.15,121.74,25,台湾花莲县海域,https://news.ceic.ac.cn/CD20240829041452.html
4.0,2024-08-17 06:19:29,23.84,121.54,18,台湾花莲县,https://news.ceic.ac.cn/CC20240817061929.html
4.2,2024-08-17 21:10:10,24.41,122.06,10,台湾宜兰县海域,https://news.ceic.ac.cn/CD20240817211011.html
6.1,2024-08-16 07:35:52,23.74,121.95,16,台湾花莲县海域,https://news.ceic.ac.cn/CC20240816073553.html
3.0,2024-08-16 05:40:46,32.55,84.89,10,西藏阿里地区改则县,https://news.ceic.ac.cn/CD20240816054046.html
4.0,2024-08-15 17:33:05,24.45,121.78,9,台湾宜兰县,https://news.ceic.ac.cn/CD20240815173306.html
5.4,2024-08-15 17:06:46,24.46,121.82,20,台湾宜兰县,https://news.ceic.ac.cn/CC20240815170647.html
3.6,2024-08-13 20:08:57,28.22,100.69,19,四川凉山州木里县,https://news.ceic.ac.cn/CD20240813200858.html
3.1,2024-08-07 10:44:47,29.55,102.02,9,四川甘孜州泸定县,https://news.ceic.ac.cn/CD20240807104448.html
3.4,2024-08-05 03:09:38,31.81,101.23,10,四川阿坝州壤塘县,https://news.ceic.ac.cn/CC20240805030938.html
3.1,2024-08-04 00:28:39,29.96,87.01,10,西藏日喀则市昂仁县,https://news.ceic.ac.cn/CD20240804002839.html
3.0,2024-08-02 00:18:02,29.24,105.56,8,四川泸州市泸县,https://news.ceic.ac.cn/CC20240802001802.html
3.0,2024-08-01 11:18:10,28.16,105.18,10,四川宜宾市兴文县,https://news.ceic.ac.cn/CD20240801111810.html
3.2,2024-08-01 07:20:30,28.21,100.70,8,四川凉山州木里县,https://news.ceic.ac.cn/CD20240801072031.html
3.2,2024-07-31 08:39:18,28.22,100.69,11,四川凉山州木里县,https://news.ceic.ac.cn/CD20240731083918.html
3.1,2024-07-30 15:35:52,32.20,92.74,10,西藏那曲市聂荣县,https://news.ceic.ac.cn/CD20240730153553.html
4.0,2024-07-30 09:27:33,29.50,98.80,10,西藏昌都市芒康县,https://news.ceic.ac.cn/CD20240730092733.html
3.1,2024-07-28 05:22:21,33.34,87.27,10,西藏那曲市双湖县,https://news.ceic.ac.cn/CD20240728052221.html
4.5,2024-07-27 19:21:46,21.86,121.22,28,台湾屏东县海域,https://news.ceic.ac.cn/CD20240727192147.html
3.6,2024-07-26 20:50:23,34.17,86.46,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CD20240726205024.html
4.2,2024-07-26 10:23:53,24.11,122.32,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240726102353.html
3.2,2024-07-22 23:02:18,33.20,88.46,10,西藏那曲市双湖县,https://news.ceic.ac.cn/CD20240722230219.html
3.0,2024-07-23 09:22:56,32.53,89.21,10,西藏那曲市双湖县,https://news.ceic.ac.cn/CD20240723092257.html
3.2,2024-07-20 06:21:04,33.88,86.67,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CD20240720062105.html
3.1,2024-07-18 18:05:28,29.95,86.99,10,西藏日喀则市昂仁县,https://news.ceic.ac.cn/CD20240718180528.html
3.0,2024-07-17 12:23:57,28.21,100.69,11,四川凉山州木里县,https://news.ceic.ac.cn/CD20240717122358.html
3.4,2024-07-14 06:49:31,29.97,87.00,10,西藏日喀则市昂仁县,https://news.ceic.ac.cn/CD20240714064931.html
3.0,2024-07-11 03:49:25,29.97,86.99,10,西藏日喀则市昂仁县,https://news.ceic.ac.cn/CD20240711034926.html
3.1,2024-07-10 21:38:15,30.15,82.67,10,西藏日喀则市仲巴县,https://news.ceic.ac.cn/CD20240710213815.html
3.3,2024-07-10 03:17:59,34.25,86.52,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CD20240710031760.html
3.4,2024-07-07 10:56:42,29.27,105.50,8,四川泸州市泸县,https://news.ceic.ac.cn/CD20240707105642.html
3.1,2024-06-28 13:59:34,28.34,104.97,9,四川宜宾市长宁县,https://news.ceic.ac.cn/CD20240628135935.html
4.9,2024-06-23 22:27:09,23.84,121.71,19,台湾花莲县海域,https://news.ceic.ac.cn/CD20240623222709.html
3.4,2024-06-23 22:11:30,34.11,86.41,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CD20240623221131.html
4.2,2024-06-23 20:42:48,33.92,86.26,10,西藏阿里地区改则县,https://news.ceic.ac.cn/CC20240623204248.html
4.6,2024-06-23 20:40:17,33.99,86.25,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CC20240623204017.html
3.9,2024-06-18 21:42:52,35.19,87.82,10,西藏那曲市双湖县,https://news.ceic.ac.cn/CD20240618214253.html
4.0,2024-06-18 11:46:57,24.13,121.90,19,台湾花莲县海域,https://news.ceic.ac.cn/CD20240618114658.html
4.2,2024-06-15 07:24:16,34.09,86.47,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CD20240615072417.html
2.9,2024-06-15 09:52:40,29.45,104.80,11,四川自贡市大安区,https://news.ceic.ac.cn/CD20240615095241.html
3.4,2024-06-13 03:22:34,34.77,88.12,10,西藏那曲市双湖县,https://news.ceic.ac.cn/CD20240613032235.html
3.1,2024-06-13 01:47:18,34.11,86.37,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CD20240613014719.html
3.2,2024-06-12 15:31:05,32.49,93.56,10,西藏那曲市巴青县,https://news.ceic.ac.cn/CC20240612153105.html
4.7,2024-06-12 11:48:15,33.61,97.46,10,四川甘孜州石渠县,https://news.ceic.ac.cn/CC20240612114815.html
4.2,2024-06-12 05:51:32,23.81,121.67,20,台湾花莲县海域,https://news.ceic.ac.cn/CD20240612055133.html
4.0,2024-06-10 00:01:16,34.26,86.55,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CD20240610000116.html
3.4,2024-06-09 12:35:05,27.64,93.17,10,西藏山南市错那市,https://news.ceic.ac.cn/CD20240609123506.html
4.2,2024-06-07 20:23:03,32.12,101.27,11,四川阿坝州壤塘县,https://news.ceic.ac.cn/CD20240607202304.html
3.0,2024-06-04 12:14:09,27.40,101.74,8,四川凉山州盐源县,https://news.ceic.ac.cn/CD20240604121410.html
3.1,2024-06-05 01:42:42,34.10,86.39,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CD20240605014243.html
3.6,2024-06-04 02:54:02,34.22,86.42,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CD20240604025403.html
4.1,2024-06-02 09:27:24,23.75,121.67,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240602092724.html
3.2,2024-06-01 20:37:50,34.41,86.45,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CD20240601203751.html
3.7,2024-06-01 18:58:56,34.23,86.33,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CD20240601185856.html
3.0,2024-06-01 11:15:18,34.54,86.65,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CD20240601111518.html
3.8,2024-06-01 10:59:54,34.47,86.42,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CD20240601105955.html
5.9,2024-06-01 08:46:37,34.14,86.36,8,西藏那曲市尼玛县,https://news.ceic.ac.cn/CC20240601084638.html
4.2,2024-06-01 08:32:38,24.35,122.08,10,台湾宜兰县海域,https://news.ceic.ac.cn/CD20240601083238.html
5.2,2024-06-01 01:10:59,24.01,121.59,10,台湾花莲县,https://news.ceic.ac.cn/CC20240601011059.html
3.7,2024-05-31 01:10:20,28.21,100.66,8,四川凉山州木里县,https://news.ceic.ac.cn/CD20240531011020.html
4.0,2024-05-30 23:52:16,23.95,121.75,32,台湾花莲县海域,https://news.ceic.ac.cn/CD20240530235216.html
4.5,2024-05-30 09:11:38,24.20,121.79,32,台湾花莲县海域,https://news.ceic.ac.cn/CD20240530091138.html
4.3,2024-05-30 07:54:44,24.01,121.86,17,台湾花莲县海域,https://news.ceic.ac.cn/CD20240530075444.html
3.0,2024-05-30 06:38:38,28.25,100.68,14,四川凉山州木里县,https://news.ceic.ac.cn/CD20240530063839.html
3.6,2024-05-28 09:13:02,30.16,81.26,10,西藏阿里地区普兰县,https://news.ceic.ac.cn/CD20240528091303.html
3.2,2024-05-27 21:53:34,28.48,96.33,10,西藏林芝市察隅县,https://news.ceic.ac.cn/CC20240527215334.html
3.0,2024-05-27 18:47:45,28.23,100.69,10,四川凉山州木里县,https://news.ceic.ac.cn/CC20240527184745.html
4.4,2024-05-27 16:25:34,28.25,100.68,9,四川凉山州木里县,https://news.ceic.ac.cn/CC20240527162534.html
4.5,2024-05-27 18:37:10,28.24,100.70,8,四川凉山州木里县,https://news.ceic.ac.cn/CC20240527183710.html
3.0,2024-05-27 16:43:55,28.24,100.69,9,四川凉山州木里县,https://news.ceic.ac.cn/CC20240527164355.html
5.0,2024-05-27 11:07:10,28.25,100.70,8,四川凉山州木里县,https://news.ceic.ac.cn/CC20240527110710.html
3.8,2024-05-27 07:02:52,30.56,86.31,10,西藏日喀则市昂仁县,https://news.ceic.ac.cn/CC20240527070252.html
3.0,2024-05-26 19:10:29,29.24,105.52,15,四川泸州市泸县,https://news.ceic.ac.cn/CD20240526191030.html
4.4,2024-05-25 01:07:10,24.22,121.84,21,台湾花莲县海域,https://news.ceic.ac.cn/CD20240525010710.html
5.0,2024-05-22 16:00:42,23.80,121.74,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240522160042.html
3.4,2024-05-21 09:38:36,29.78,102.02,11,四川甘孜州泸定县,https://news.ceic.ac.cn/CD20240521093836.html
3.0,2024-05-21 07:39:22,29.78,102.02,11,四川甘孜州泸定县,https://news.ceic.ac.cn/CD20240521073922.html
3.8,2024-05-21 05:26:59,33.64,81.92,10,西藏阿里地区日土县,https://news.ceic.ac.cn/CD20240521052659.html
3.0,2024-05-15 08:49:10,31.55,104.05,13,四川德阳市绵竹市,https://news.ceic.ac.cn/CD20240515084910.html
3.1,2024-05-13 04:11:13,28.25,100.68,11,四川凉山州木里县,https://news.ceic.ac.cn/CD20240513041114.html
4.4,2024-05-11 17:44:39,23.99,121.77,17,台湾花莲县海域,https://news.ceic.ac.cn/CC20240511174440.html
4.5,2024-05-11 13:16:01,23.85,121.73,8,台湾花莲县海域,https://news.ceic.ac.cn/CD20240511131601.html
5.6,2024-05-10 15:45:19,24.22,121.89,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240510154519.html
4.6,2024-05-10 09:37:24,23.86,121.59,10,台湾花莲县,https://news.ceic.ac.cn/CD20240510093724.html
4.6,2024-05-10 09:35:39,23.76,121.64,10,台湾花莲县海域,https://news.ceic.ac.cn/CD20240510093539.html
3.1,2024-05-09 15:33:08,33.39,86.93,10,西藏那曲市尼玛县,https://news.ceic.ac.cn/CD20240509153308.html
4.2,2024-05-08 19:31:23,24.10,122.56,20,台湾花莲县海域,https://news.ceic.ac.cn/CD20240508193124.html
4.3,2024-05-08 16:40:44,23.71,121.61,9,台湾花莲县海域,https://news.ceic.ac.cn/CD20240508164045.html
5.2,2024-05-06 17:52:46,23.70,121.57,25,台湾花莲县海域,https://news.ceic.ac.cn/CC20240506175247.html
4.5,2024-05-02 10:07:27,22.50,121.46,10,台湾台东县海域,https://news.ceic.ac.cn/CD20240502100727.html
3.4,2024-05-01 03:22:55,30.54,83.73,10,西藏日喀则市仲巴县,https://news.ceic.ac.cn/CD20240501032255.html
3.1,2024-04-29 21:55:43,28.14,92.63,10,西藏山南市隆子县,https://news.ceic.ac.cn/CD20240429215544.html
4.0,2024-04-29 01:40:20,24.14,121.77,31,台湾花莲县海域,https://news.ceic.ac.cn/CD20240429014020.html
3.0,2024-04-27 13:47:55,31.32,103.72,17,四川成都市彭州市,https://news.ceic.ac.cn/CC20240427134756.html
4.0,2024-04-27 03:13:27,24.18,121.73,25,台湾花莲县海域,https://news.ceic.ac.cn/CD20240427031327.html
5.3,2024-04-27 02:49:28,24.21,121.77,27,台湾花莲县海域,https://news.ceic.ac.cn/CC20240427024928.html
5.6,2024-04-27 02:21:23,24.08,121.77,30,台湾花莲县海域,https://news.ceic.ac.cn/CC20240427022124.html
4.6,2024-04-26 20:28:13,23.80,121.56,10,台湾花莲县,https://news.ceic.ac.cn/CD20240426202813.html
4.1,2024-04-25 09:23:20,23.82,121.62,10,台湾花莲县海域,https://news.ceic.ac.cn/CD20240425092321.html
4.0,2024-04-25 08:19:14,23.70,121.58,9,台湾花莲县海域,https://news.ceic.ac.cn/CD20240425081914.html
5.0,2024-04-25 02:11:55,23.95,122.31,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240425021155.html
4.1,2024-04-24 13:01:19,24.28,122.04,10,台湾花莲县海域,https://news.ceic.ac.cn/CD20240424130120.html
4.4,2024-04-24 15:30:52,23.81,121.61,10,台湾花莲县海域,https://news.ceic.ac.cn/CD20240424153053.html
4.4,2024-04-24 00:02:21,24.08,121.74,14,台湾花莲县海域,https://news.ceic.ac.cn/CD20240424000222.html
3.2,2024-04-23 21:54:47,28.54,103.75,10,四川宜宾市屏山县,https://news.ceic.ac.cn/CD20240423215448.html
4.2,2024-04-23 20:40:51,23.76,121.63,8,台湾花莲县海域,https://news.ceic.ac.cn/CD20240423204052.html
4.0,2024-04-23 13:08:08,23.76,121.56,10,台湾花莲县,https://news.ceic.ac.cn/CC20240423130808.html
4.1,2024-04-23 10:27:06,23.83,121.58,10,台湾花莲县,https://news.ceic.ac.cn/CC20240423102707.html
4.4,2024-04-23 10:23:53,23.90,121.55,10,台湾花莲县,https://news.ceic.ac.cn/CC20240423102353.html
5.0,2024-04-23 10:21:01,23.82,121.60,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240423102102.html
5.0,2024-04-23 09:45:46,23.80,121.58,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240423094547.html
6.0,2024-04-23 08:04:06,23.87,121.59,10,台湾花莲县,https://news.ceic.ac.cn/CC20240423080406.html
5.3,2024-04-23 05:31:40,23.81,121.60,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240423053140.html
5.0,2024-04-23 05:24:33,23.73,121.49,10,台湾花莲县,https://news.ceic.ac.cn/CC20240423052433.html
5.2,2024-04-23 05:19:37,23.76,121.58,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240423051937.html
4.8,2024-04-23 05:14:47,23.75,121.51,10,台湾花莲县,https://news.ceic.ac.cn/CC20240423051447.html
4.2,2024-04-23 05:11:01,23.75,121.52,10,台湾花莲县,https://news.ceic.ac.cn/CC20240423051101.html
5.1,2024-04-23 05:04:22,23.69,121.52,10,台湾花莲县,https://news.ceic.ac.cn/CC20240423050422.html
4.8,2024-04-23 04:52:58,23.81,121.48,8,台湾花莲县,https://news.ceic.ac.cn/CC20240423045258.html
5.8,2024-04-23 04:49:58,23.69,121.58,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240423044958.html
4.8,2024-04-23 04:03:08,23.80,121.61,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240423040308.html
4.6,2024-04-23 03:34:06,23.77,121.58,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240423033406.html
4.8,2024-04-23 03:19:54,23.88,121.57,10,台湾花莲县,https://news.ceic.ac.cn/CC20240423031954.html
6.2,2024-04-23 02:32:50,23.81,121.53,10,台湾花莲县,https://news.ceic.ac.cn/CC20240423023250.html
6.3,2024-04-23 02:26:53,23.70,121.68,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240423022653.html
4.2,2024-04-23 01:40:25,23.70,121.51,10,台湾花莲县,https://news.ceic.ac.cn/CC20240423014025.html
4.0,2024-04-23 00:33:05,23.84,121.69,12,台湾花莲县海域,https://news.ceic.ac.cn/CD20240423003305.html
5.9,2024-04-22 22:11:25,23.79,121.49,9,台湾花莲县,https://news.ceic.ac.cn/CC20240422221126.html
6.0,2024-04-23 08:04:06,23.87,121.59,10,台湾花莲县,https://news.ceic.ac.cn/CC20240423080406.html
4.4,2024-04-22 21:00:43,23.72,121.58,10,台湾花莲县海域,https://news.ceic.ac.cn/CD20240422210043.html
5.1,2024-04-22 21:13:41,23.67,121.54,10,台湾花莲县,https://news.ceic.ac.cn/CC20240422211341.html
4.8,2024-04-22 19:45:37,23.70,121.58,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240422194537.html
4.5,2024-04-22 19:44:00,23.77,121.60,10,台湾花莲县海域,https://news.ceic.ac.cn/CD20240422194400.html
4.6,2024-04-22 19:34:29,23.74,121.53,10,台湾花莲县,https://news.ceic.ac.cn/CD20240422193430.html
4.8,2024-04-22 19:25:59,23.75,121.45,10,台湾花莲县,https://news.ceic.ac.cn/CC20240422192560.html
4.6,2024-04-22 19:25:14,23.71,121.53,10,台湾花莲县,https://news.ceic.ac.cn/CC20240422192515.html
4.4,2024-04-22 19:22:07,23.78,121.59,10,台湾花莲县海域,https://news.ceic.ac.cn/CD20240422192207.html
4.9,2024-04-22 19:13:11,23.81,121.68,11,台湾花莲县海域,https://news.ceic.ac.cn/CD20240422191312.html
4.3,2024-04-22 19:10:14,23.71,121.55,8,台湾花莲县海域,https://news.ceic.ac.cn/CD20240422191015.html
5.7,2024-04-22 18:50:32,23.76,121.51,10,台湾花莲县,https://news.ceic.ac.cn/CC20240422185033.html
4.9,2024-04-22 18:49:07,23.70,121.57,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240422184908.html
5.3,2024-04-22 18:46:12,23.74,121.59,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240422184612.html
4.7,2024-04-22 17:52:55,23.78,121.61,9,台湾花莲县海域,https://news.ceic.ac.cn/CD20240422175256.html
4.5,2024-04-22 17:17:11,23.78,121.49,10,台湾花莲县,https://news.ceic.ac.cn/CC20240422171712.html
4.6,2024-04-22 17:15:56,23.64,121.41,10,台湾花莲县,https://news.ceic.ac.cn/CC20240422171557.html
4.9,2024-04-22 17:12:11,23.78,121.55,8,台湾花莲县,https://news.ceic.ac.cn/CD20240422171211.html
5.3,2024-04-22 17:08:40,23.72,121.59,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240422170840.html
4.6,2024-04-22 00:35:50,24.24,121.68,9,台湾花莲县,https://news.ceic.ac.cn/CD20240422003550.html
5.0,2024-04-21 10:40:56,23.49,121.60,20,台湾花莲县海域,https://news.ceic.ac.cn/CC20240421104057.html
4.0,2024-04-20 09:44:03,33.60,81.86,10,西藏阿里地区日土县,https://news.ceic.ac.cn/CD20240420094404.html
3.2,2024-04-19 07:55:26,28.44,102.04,14,四川凉山州冕宁县,https://news.ceic.ac.cn/CD20240419075526.html
3.3,2024-04-19 01:52:57,33.63,81.85,10,西藏阿里地区日土县,https://news.ceic.ac.cn/CC20240419015257.html
3.8,2024-04-19 01:44:22,33.51,81.76,10,西藏阿里地区日土县,https://news.ceic.ac.cn/CC20240419014423.html
4.5,2024-04-19 01:40:02,33.49,81.81,10,西藏阿里地区日土县,https://news.ceic.ac.cn/CC20240419014002.html
3.4,2024-04-18 15:43:32,33.60,81.85,10,西藏阿里地区日土县,https://news.ceic.ac.cn/CD20240418154332.html
3.2,2024-04-18 10:13:40,34.33,85.18,10,西藏阿里地区改则县,https://news.ceic.ac.cn/CD20240418101340.html
4.1,2024-04-17 20:21:57,33.50,81.75,10,西藏阿里地区日土县,https://news.ceic.ac.cn/CC20240417202157.html
4.6,2024-04-17 17:17:09,23.93,121.75,23,台湾花莲县海域,https://news.ceic.ac.cn/CD20240417171710.html
4.2,2024-04-17 02:59:49,24.10,121.83,18,台湾花莲县海域,https://news.ceic.ac.cn/CD20240417025949.html
3.2,2024-04-14 11:04:23,33.62,81.98,10,西藏阿里地区日土县,https://news.ceic.ac.cn/CD20240414110424.html
4.2,2024-04-13 22:26:35,24.05,121.60,9,台湾花莲县,https://news.ceic.ac.cn/CD20240413222636.html
4.2,2024-04-13 20:38:46,23.60,121.66,8,台湾花莲县海域,https://news.ceic.ac.cn/CD20240413203847.html
2.9,2024-04-13 18:26:45,28.84,105.08,10,四川宜宾市南溪区,https://news.ceic.ac.cn/CD20240413182646.html
5.2,2024-04-13 13:44:41,33.56,81.84,10,西藏阿里地区日土县,https://news.ceic.ac.cn/CC20240413134441.html
4.3,2024-04-13 02:44:36,23.44,120.17,10,台湾嘉义县,https://news.ceic.ac.cn/CD20240413024437.html
4.4,2024-04-11 00:55:12,24.14,121.87,12,台湾花莲县海域,https://news.ceic.ac.cn/CD20240411005512.html
4.0,2024-04-09 06:14:07,24.01,121.77,21,台湾花莲县海域,https://news.ceic.ac.cn/CC20240409061407.html
4.6,2024-04-09 02:02:35,23.92,121.83,28,台湾花莲县海域,https://news.ceic.ac.cn/CC20240409020235.html
4.5,2024-04-08 13:09:34,24.23,121.93,23,台湾花莲县海域,https://news.ceic.ac.cn/CC20240408130934.html
4.0,2024-04-08 06:49:28,24.24,121.96,25,台湾花莲县海域,https://news.ceic.ac.cn/CC20240408064928.html
4.8,2024-04-07 18:01:19,24.10,122.25,20,台湾花莲县海域,https://news.ceic.ac.cn/CC20240407180119.html
4.1,2024-04-07 05:15:09,23.98,121.80,17,台湾花莲县海域,https://news.ceic.ac.cn/CD20240407051509.html
4.5,2024-04-06 23:53:09,24.15,122.00,23,台湾花莲县海域,https://news.ceic.ac.cn/CD20240406235310.html
4.5,2024-04-06 11:52:53,24.10,121.97,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240406115253.html
3.2,2024-04-06 11:12:17,32.23,104.96,18,四川绵阳市江油市,https://news.ceic.ac.cn/CD20240406111218.html
4.4,2024-04-06 09:37:51,23.70,121.98,13,台湾花莲县海域,https://news.ceic.ac.cn/CD20240406093752.html
4.6,2024-04-06 04:26:26,23.91,121.85,21,台湾花莲县海域,https://news.ceic.ac.cn/CD20240406042627.html
4.0,2024-04-05 17:04:55,24.00,121.80,20,台湾花莲县海域,https://news.ceic.ac.cn/CD20240405170456.html
4.5,2024-04-05 14:12:47,23.77,121.61,8,台湾花莲县海域,https://news.ceic.ac.cn/CD20240405141248.html
4.8,2024-04-05 12:50:49,24.08,121.87,22,台湾花莲县海域,https://news.ceic.ac.cn/CD20240405125050.html
4.8,2024-04-05 02:35:00,24.15,121.81,26,台湾花莲县海域,https://news.ceic.ac.cn/CD20240405023500.html
4.6,2024-04-04 22:30:05,24.21,121.90,13,台湾花莲县海域,https://news.ceic.ac.cn/CC20240404223005.html
4.1,2024-04-04 13:00:29,24.20,121.87,23,台湾花莲县海域,https://news.ceic.ac.cn/CD20240404130030.html
4.0,2024-04-04 09:29:09,23.83,121.49,8,台湾花莲县,https://news.ceic.ac.cn/CD20240404092910.html
4.0,2024-04-04 06:46:34,23.99,121.75,20,台湾花莲县海域,https://news.ceic.ac.cn/CD20240404064635.html
4.2,2024-04-04 05:56:11,24.19,121.83,17,台湾花莲县海域,https://news.ceic.ac.cn/CD20240404055611.html
4.2,2024-04-04 03:46:52,23.89,121.77,10,台湾花莲县海域,https://news.ceic.ac.cn/CD20240404034653.html
4.8,2024-04-04 02:29:46,23.79,121.91,14,台湾花莲县海域,https://news.ceic.ac.cn/CD20240404022947.html
4.3,2024-04-03 23:42:37,24.19,121.64,10,台湾花莲县,https://news.ceic.ac.cn/CC20240403234238.html
4.4,2024-04-03 23:39:09,24.15,121.77,20,台湾花莲县海域,https://news.ceic.ac.cn/CD20240403233909.html
4.0,2024-04-03 22:49:13,24.12,121.97,19,台湾花莲县海域,https://news.ceic.ac.cn/CD20240403224914.html
4.3,2024-04-03 12:08:09,23.80,121.72,15,台湾花莲县海域,https://news.ceic.ac.cn/CD20240403120809.html
4.5,2024-04-03 11:57:18,23.82,121.61,19,台湾花莲县海域,https://news.ceic.ac.cn/CD20240403115719.html
4.2,2024-04-03 10:38:30,23.90,121.63,10,台湾花莲县海域,https://news.ceic.ac.cn/CD20240403103831.html
4.3,2024-04-03 11:35:22,24.21,121.79,10,台湾花莲县海域,https://news.ceic.ac.cn/CC20240403113523.html
4.4,2024-04-03 11:20:54,24.17,121.76,10,台湾花莲县海域,https://news.ceic.ac.cn/CD20240403112054.html
