参数1_文本,书名,章节名称
秦恒解释道：“爸，妈，今天有好消息，我拳力达到544公斤了！”,星武纪元,第002章 未来充满希望
“什么？544公斤！”,星武纪元,第002章 未来充满希望
爸妈高兴得差点从轮椅上跳起来。,星武纪元,第002章 未来充满希望
“咱家小恒出息了！”,星武纪元,第002章 未来充满希望
“哈哈哈，我们家要出武者了，老秦家祖坟冒青烟啊！”,星武纪元,第002章 未来充满希望
两人开怀大笑，再也没有指责秦恒乱花钱的意思。,星武纪元,第002章 未来充满希望
这种好事，当然要庆祝一下！,星武纪元,第002章 未来充满希望
“咱们今晚炒个肉菜吃，等三天后我通过了准武者考核，加入天道武馆，天天都能大鱼大肉！”秦恒笑着说道，走向厨房，满心都是对美好生活的憧憬。,星武纪元,第002章 未来充满希望
父母二人也都眼眸有光，仿佛灰暗的生活终于有了一些色彩。,星武纪元,第002章 未来充满希望
母亲盛玉涵自己摇着轮椅进厨房帮忙洗菜。,星武纪元,第002章 未来充满希望
父亲秦子明跟在后面，问道：“小恒，听你的意思，是已经决定要加入天道武馆了吗？之前不是说那里太远？”,星武纪元,第002章 未来充满希望
关于志愿的问题，秦恒和父母讨论过。,星武纪元,第002章 未来充满希望
他回道：“是凌雪给我的建议，她说当了准武者工资高，可以雇人照顾你们，而且每个月都有2天自由假期，我想回家也可以随时请假回来。”,星武纪元,第002章 未来充满希望
“雇人？”秦子明和盛玉涵相视一眼，显然他们也和秦恒一样没有这样的概念。,星武纪元,第002章 未来充满希望
听到这话才被点醒，秦子明立即说道：“对啊，咱们可以请楼下的小林当保姆。她一个人养两个家，到处打零工很不容易，以后小恒有出息了，可以给她个稳定点的工作，这样不仅有人照顾我们起居，还能报答一下她以前对你的关照。”,星武纪元,第002章 未来充满希望
楼下小林……,星武纪元,第002章 未来充满希望
秦恒脑海中闪过一张柔美的脸。,星武纪元,第002章 未来充满希望
林沐月，邻家的大姐姐，比秦恒大六岁，三年前嫁了人，但丈夫在富人区当保安的时候出意外死了，她带着刚满月的孩子回来和父母住，条件很艰苦。,星武纪元,第002章 未来充满希望
这位大姐姐以前没少关心过秦恒，他的印象很深。,星武纪元,第002章 未来充满希望
“嗯，等我拿到第一笔工资，就聘请林姐姐。”秦恒点头同意了父亲的提议。,星武纪元,第002章 未来充满希望
不一会儿，晚饭做好了。,星武纪元,第002章 未来充满希望
饭是糙米饭，汤是白开水，菜是一碟老咸菜，外加一份香喷喷的蒜苗炒肉。,星武纪元,第002章 未来充满希望
仅仅这一个肉菜的存在，就已经称得上是贫民区的豪华晚餐了。,星武纪元,第002章 未来充满希望
“开饭！以后的日子，还会比这更好！”秦恒信心满满的说道。,星武纪元,第002章 未来充满希望
“嗯，爸妈相信你！”,星武纪元,第002章 未来充满希望
二老都很高兴，一个劲的往他碗里夹肉。,星武纪元,第002章 未来充满希望
“多吃点肉，你还在长身体，营养一定要充分。”,星武纪元,第002章 未来充满希望
“吃饱了才有力气训练，争取早点成为真正的武者！”,星武纪元,第002章 未来充满希望
“真不知道咱家小恒穿上作战服该有多帅，肯定比电视上那些武者还帅！”,星武纪元,第002章 未来充满希望
秦恒看着完全被肉盖住的一碗饭，哭笑不得：“爸妈你们倒是自己夹两口啊，我平时训练餐里就有肉，这是专门给你们准备的，怎么全到我碗里了？”,星武纪元,第002章 未来充满希望
“吃着呢吃着呢，吃好几块了。”,星武纪元,第002章 未来充满希望
“少废话快点吃，凉了就不香了。”,星武纪元,第002章 未来充满希望
二老非但不觉得有什么不好，反而催促他。,星武纪元,第002章 未来充满希望
秦恒无奈，想夹回去给他们又怕爸妈生气，只好把碗里的全吃了。,星武纪元,第002章 未来充满希望
秦恒无奈，想夹回去给他们又怕爸妈生气，只好把碗里的全吃了。,星武纪元,第003章 先天胎息功
饭后，秦恒来到顶楼天台。,星武纪元,第003章 先天胎息功
贫民区的房子都是“鸽子笼”，又小又暗，没有多少空旷的空间。,星武纪元,第003章 先天胎息功
他想要练功，就只能来天台。,星武纪元,第003章 先天胎息功
但即使是天台，也十分的拥挤。,星武纪元,第003章 先天胎息功
晾衣杆子、绳子就不用说了，还有人用泡沫箱子种葱蒜韭菜、小青菜，有人用来堆放家里放不下又舍不得扔的旧物件。,星武纪元,第003章 先天胎息功
还好……没有其他人在，不会妨碍到他练功。,星武纪元,第003章 先天胎息功
“开始修炼，今天试一试教练新教的静修法。”,星武纪元,第003章 先天胎息功
秦恒坐了下来。,星武纪元,第003章 先天胎息功
今天测试拳力突破500公斤之后，试炼武馆的教练告诉了他一个特殊的修炼法，叫做《先天胎息功》。,星武纪元,第003章 先天胎息功
据说这是所有准武者通用的修炼法门，是由“七大武神”联合钻研、总结出来的。,星武纪元,第003章 先天胎息功
为了全人类的进化与成长，七大武神把这一修炼法无偿分享给所有武馆，只要拳力达到500公斤，就可以开始修炼。,星武纪元,第003章 先天胎息功
秦恒根据功法的引导，先是静坐调节呼吸，让自己达到近乎沉睡的状态。,星武纪元,第003章 先天胎息功
然后用意识去控制内脏器官，使得呼吸不再是肺的特权，激活所有器官以及皮肤，对外汲取自然界的能量。,星武纪元,第003章 先天胎息功
武者修炼，不仅仅是肌肉力量的增长，更重要的是对宇宙能量的吸收。,星武纪元,第003章 先天胎息功
六十年来，人类武者不断探索进化之路，探索宇宙能量，找到了许许多多从前没有的东西。,星武纪元,第003章 先天胎息功
秦恒所做的，就是借用前人的智慧，去壮大自己。,星武纪元,第003章 先天胎息功
随着修炼状态的持续，他的皮肤开始汲取周遭的能量。,星武纪元,第003章 先天胎息功
月光，微风，磁场……,星武纪元,第003章 先天胎息功
每一种存在，都有对应的能量流转。,星武纪元,第003章 先天胎息功
一缕缕看不见的能量沿着毛孔钻进身体里，去滋养肌肉与筋膜，潜移默化的改变着他的身体构造。,星武纪元,第003章 先天胎息功
滋~,星武纪元,第003章 先天胎息功
细胞肌理间，仿佛有微小的电流在游走，带来酥麻的感觉。,星武纪元,第003章 先天胎息功
电流游走全身，经过人体每个经络窍穴，畅通无阻。,星武纪元,第003章 先天胎息功
秦恒心中暗自惊讶：“杨教练说过，人体经脉最初是堵塞的，修炼的时候会有滞涩感，需要在一次次的修炼中慢慢冲开。怎么我这里……却是完全通畅？”,星武纪元,第003章 先天胎息功
他有些不明白。,星武纪元,第003章 先天胎息功
但潜意识告诉他，这不是坏事，只管高兴修炼就是了。,星武纪元,第003章 先天胎息功
秦恒稳住心神，保持先天胎息的状态，任由外界能量滋养自身。,星武纪元,第003章 先天胎息功
月色皎洁，天空之中可以看到少量星光在闪烁，还有一道白色的光痕，悬挂在月亮旁边，如同星光搭建而成的桥梁，熠熠生辉。,星武纪元,第003章 先天胎息功
秦恒就这样沐浴着月光，悄无声息的经历着第一次修炼带来的蜕变。,星武纪元,第003章 先天胎息功
……,星武纪元,第003章 先天胎息功
秦恒醒来的时候，已经是早上。,星武纪元,第003章 先天胎息功
他在天台修炼了一整夜。,星武纪元,第003章 先天胎息功
由于是胎息状态，所以修炼过程与睡眠差不多，经过一夜调整，现在精神饱满。,星武纪元,第003章 先天胎息功
露水打湿了衣服，秦恒站起身来，伸了个懒腰。,星武纪元,第003章 先天胎息功
咯咯咯……,星武纪元,第003章 先天胎息功
一阵发自骨骼的响动从体内传出。,星武纪元,第003章 先天胎息功
他只觉得浑身上下畅快无比，好像刚刚经历过一场超越身体极限的运动一样。,星武纪元,第003章 先天胎息功
“咦……我怎么感觉自己好像长高了？”他有些惊讶。,星武纪元,第003章 先天胎息功
此时的视角高低，和平时略有不同。,星武纪元,第003章 先天胎息功
而且他的肌肉骨骼好像也愈发强韧了！,星武纪元,第003章 先天胎息功
“难道是昨晚修炼先天胎息功的功效？”,星武纪元,第003章 先天胎息功
这才一晚上啊，怎么可能有这么大的变化？,星武纪元,第003章 先天胎息功
“真是不可思议……赶紧回武馆测量一下力量和身高。”,星武纪元,第003章 先天胎息功
秦恒心情有点激动，立即下了楼。,星武纪元,第003章 先天胎息功
他从楼道下来，家门没有锁，母亲已经起来做早饭了，父亲还在睡觉。,星武纪元,第003章 先天胎息功
“小恒，昨晚去哪里了，怎么没回来睡？”盛玉涵听到他的声音问道。,星武纪元,第003章 先天胎息功
“我在天台修炼，刚结束。”秦恒回了句。,星武纪元,第003章 先天胎息功
“你这孩子，也别把自己逼得太紧了，要多注意休息。喏，先吃个鸡蛋。”盛玉涵一边口头教育，一边将热乎的水煮蛋递给他。,星武纪元,第003章 先天胎息功
“咦，什么时候买鸡蛋了？”秦恒讶道。,星武纪元,第003章 先天胎息功
“要你管，吃完快点去武馆，后天就考核了，不许出任何差错！”,星武纪元,第003章 先天胎息功
“好嘞妈，我这就去！”秦恒笑着道。,星武纪元,第003章 先天胎息功
今天是考核前的最后一天了，教练会开启拳力测试机，让所有学员都进行一次拳力测试。,星武纪元,第003章 先天胎息功
正好，也让他测试一下自己一夜修炼的成果。,星武纪元,第003章 先天胎息功
早上7点30分，秦恒来到试炼武馆。,星武纪元,第003章 先天胎息功
人很多。,星武纪元,第003章 先天胎息功
大家都知道今天会开拳力测试机，所以早早就来排队。,星武纪元,第003章 先天胎息功
试炼武馆遍布全城，不过大多数都在新城区、富人区。,星武纪元,第003章 先天胎息功
到了7号贫民区这边，一共就这一家。,星武纪元,第003章 先天胎息功
“嘿，秦恒，你也来了！”,星武纪元,第003章 先天胎息功
“提前恭喜你啊，马上就要成为准武者了。”,星武纪元,第003章 先天胎息功
“544公斤，那可是我遥不可及的梦啊。”,星武纪元,第003章 先天胎息功
秦恒刚到，就听到了一片恭维的声音。,星武纪元,第003章 先天胎息功
他笑道：“我也是好运而已，大家加油，你们一定也可以的！”,星武纪元,第003章 先天胎息功
众人：“哈哈，那就借你吉言！”,星武纪元,第003章 先天胎息功
秦恒排到队伍末端，前面有人想把前面的位置让他，不过他婉拒了。,星武纪元,第003章 先天胎息功
很快，更多的学员抵达武馆，队列绕着训练场的空地转了好几个圈。,星武纪元,第003章 先天胎息功
教练来了。,星武纪元,第003章 先天胎息功
“各位，做好准备了没有？”杨怀安教练朗声问道。,星武纪元,第003章 先天胎息功
这位教练是个中年人，四十来岁模样，身材矮壮，一看就是个非常能打的高手。,星武纪元,第003章 先天胎息功
但他只有一条手臂，右臂齐根而断，据说是在荒野和怪兽搏杀时受的伤，不得以截肢了。,星武纪元,第003章 先天胎息功
“准备好了！”,星武纪元,第003章 先天胎息功
年轻学员们齐声应道。,星武纪元,第003章 先天胎息功
杨教练拍了拍拳力测试机器，说道：“我马上开启仪器给你们进行模拟考试。你们依次上前，每人三拳，取最大值记录，不得冲刺、不得垫步，只能原地挥拳，否则成绩无效，明白没有？”,星武纪元,第003章 先天胎息功
“明白！”众人又齐声道。,星武纪元,第003章 先天胎息功
“好，按队列来，张俊，你先。”杨教练指了指队列最前面的少年。,星武纪元,第003章 先天胎息功
张俊是秦恒的同巷朋友，实力也挺不错的。,星武纪元,第003章 先天胎息功
他上前站定，对着测试机砸拳。,星武纪元,第003章 先天胎息功
“第一下，467公斤！”,星武纪元,第003章 先天胎息功
打完一拳，间隔3秒左右，再打第二拳。,星武纪元,第003章 先天胎息功
“第二下，471公斤！”,星武纪元,第003章 先天胎息功
接着是第三下：“466公斤！”,星武纪元,第003章 先天胎息功
杨教练：“取最大值，471公斤，还不错。记住这个成绩，后天如果考不上，明年一定能上！”,星武纪元,第003章 先天胎息功
张俊苦着个脸：“可是我今年是最后一年免费训练期了，再拖一年要交好多钱……”,星武纪元,第003章 先天胎息功
杨怀安教练没好气道：“交钱怕什么？你不会边打工边训练吗？等成为准武者，薪资高到吓死你！”,星武纪元,第003章 先天胎息功
张俊：“好像也是哦……我一定会努力的！”,星武纪元,第003章 先天胎息功
他退下位置，把测试机让给第二个人。,星武纪元,第003章 先天胎息功
“第二个，李明勇，第一拳，376公斤，第二拳……”,星武纪元,第003章 先天胎息功
教练大声播报成绩，每个人都能听到。,星武纪元,第003章 先天胎息功
张俊来到秦恒身边，叹气道：“秦恒，看来咱俩今年没法继续当同学了。”,星武纪元,第003章 先天胎息功
秦恒拍了拍他的肩膀，鼓励道：“没事，来年也一样，不要气馁。”,星武纪元,第003章 先天胎息功
“哎哟，你拍轻点，我知道你拳力超过五百公斤了，不用这么大力告诉我。”张俊表情夸张的怪叫道。,星武纪元,第003章 先天胎息功
“哈哈，哪有这么用力，我很轻的。”秦恒笑道。,星武纪元,第003章 先天胎息功
“真的很用力……”,星武纪元,第003章 先天胎息功
张俊吐槽一句，揉了揉肩膀，然后说道：“我去训练室练一会儿，你们继续。”,星武纪元,第003章 先天胎息功
“嗯，加油，临时抱个佛脚，说不定后天你的力量就够了！”秦恒笑道。,星武纪元,第003章 先天胎息功
“嗐，哪有什么佛脚可以抱……”,星武纪元,第003章 先天胎息功
张俊摇着头离开。,星武纪元,第003章 先天胎息功
张俊摇着头离开。,星武纪元,第004章 巨大的提升
说话间，前面又测过了两个人。,星武纪元,第004章 巨大的提升
“苏狂，你来。”杨教练又点了一个名字，队列最前面的魁梧少年走上前去。,星武纪元,第004章 巨大的提升
“苏狂，这家伙可是咱们武馆十杰之一，肯定够达标了！”底下立即有人说道。,星武纪元,第004章 巨大的提升
秦恒饶有兴趣的看着。,星武纪元,第004章 巨大的提升
所谓“武馆十杰”，是指十个包括秦恒在内，最有希望通过考核的人。,星武纪元,第004章 巨大的提升
