参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本
,,“六岁，擒杀恶虎、手撕熊罴。”,,,
,,“九岁，跻身“大乾奇才榜”之上，与世家秦氏嫡女订亲，名噪苍州。”,,,
,,“十四岁，通过秋闱考核，连中三元，成为大乾三百年来最年轻的状元郎！”,,,
,,“当今陛下亲口赞誉‘陆家麒麟儿，举世称无双’！我们陆家的宗族品阶，也因此事破格提升一品！,,,
,,“叹，天妒英才！三年前，陆夜遭遇祸事，在昏睡三年后，于今日辰时逝去……”,,,
,,听到陆夜的悼词，灵堂附近响起一阵更大更悲切的哭声。,,,
,,每个人神色愈发悲痛。,,,
,,二少爷若还活着，宗族哪怕发生再大的惨祸，也绝对有重新崛起的希望！,,,
,,可惜……,,,
,,陆夜却很惊愕，我死了？,,,
,,很快，陆夜感知到，灵堂十九个灵位中，有一个赫然写着自己的名字。,,,
,,而自己就躺在灵堂其中一个棺材内！,,,
,,“难道天要亡我陆家？”,,,
,,有人悲痛大呼，“经此祸事，咱们陆家战力最顶尖的一批老人都已牺牲，这等于毁掉了宗族赖以生存的脊梁柱啊！”,,,
,,“我只想知道，如今咱们陆家，究竟谁来主持大局？”,,,
,,“依照家规，宗族大权由嫡系执掌，自然是大少爷来主持大局！”,,,
,,有人摇头反对道：“大少爷虽是嫡系长子，却身患顽疾，无法修行，怕是不合适来主持大局。”,,,
,,许多人暗叹，这是事实，相比曾惊艳无双的二少爷陆夜，大少爷陆霄俨然和废人没区别。,,,
,,“如今，宗族一众老人战死，家主夫妇消失多年，二少爷也已逝去，自然该有实力的人站出来主持大局！”,,,
,,“我提议，由大执事主持大局！如今他的资历最老！”,,,
,,“我提议三执事，他实力最强！”,,,
,,“我提议六叔，他做事最公道！”,,,
,,……一时间，灵堂内外变得嘈杂之极。,,,
,,“够了！”,,,
,,蓦地，一个身着白色缟衣，清丽绝美的女子冷冷开口。,,,
,,“这里是灵堂，祭奠仪式还没结束，长辈尸骨未寒，你们就按捺不住了？”,,,
,,所有人噤若寒蝉，灵堂气氛沉寂下去。,,,
,,陆夜认出，那缟衣女子，乃是大哥陆霄的妻子，自己的大嫂潘盈袖，来自苍州潘氏一族。,,,
,,潘家乃千年世家，钟鸣鼎食，底蕴和权势远在陆家之上。,,,
,,而大嫂不止是潘家的掌上明珠，更是苍州灵枢道宗的圣女，身份贵不可言！,,,
,,“有大嫂帮着大哥，倒是可以镇住家族那些族人。”,,,
,,陆夜暗松一口气。,,,
,,“一个宗族若群龙无首，内部必生大乱！”,,,
,,一身缟衣的潘盈袖眸光清冷，扫视陆家族人，道，,,,
,,“且不谈谁来主持大局，我把丑话说前边，谁敢趁机作乱，争抢宗族权柄和财产，我必杀之！”,,,
,,声音回荡灵堂内外。,,,
,,无人敢吭声，全都被潘盈袖身上散发出的凌厉威势震慑。,,,
,,陆夜暗暗点头，认可大嫂的做法，只要宗族不内乱，一切好说。,,,
,,而此时，三执事陆山不着痕迹地瞥了潘盈袖一眼，忽地站出来，沉声道：,,,
,,“少夫人，有您在，宗族断不会发生内乱，但，宗族还有外患！”,,,
,,许多人内心沉重。最近有传言说，天河郡城的李家、方家等宗族势力要联合一起，瓜分陆家的势力地盘，把陆家彻底踩在脚下！,,,
,,陆山继续道：“不过，若有大夫人站出来主持大局，必可力挽狂澜，保全陆家！”,,,
,,此话一出，全场哗然。,,,
,,谁都清楚，少夫人潘盈袖背靠潘家和灵枢道宗，若有她坐镇，自可以缓解陆家困境。,,,
,,可潘盈袖毕竟是外戚，不是陆家嫡系血亲！,,,
,,“行了，就是你们答应，我也不答应！”,,,
,,潘盈袖摇头道：“我一个女人，不宜抛头露面，若这么做，外人注定会笑话陆家无人，辱没门风。”,,,
,,众人面面相觑，都很意外。,,,
,,陆山沉声道：“那就由大少爷主持大局，有少夫人辅佐，自可以为宗族排忧解难！”,,,
,,许多人点头，这倒是个办法。,,,
,,可也有人皱眉，这不就是把大少爷视作了傀儡？,,,
,,大少爷陆霄坐在那，自始至终对其他事不闻不问。,,,
,,他目光怔怔地看着弟弟陆夜的棺材，神色悲伤，无声泪流，攥在右手的祖传铜印深陷掌心，快要挤破血肉。,,,
,,一个银袍青年忽地嗤笑道：“你们陆家的祸事，凭什么让我潘家帮忙？就因为我姐来自潘家？可笑！”,,,
,,他叫潘云锋，是潘盈袖的亲弟弟。,,,
,,一下子，陆家众人神色变得不自在。,,,
,,的确，仅仅因为潘盈袖嫁入陆家，就要潘家无条件地帮忙，凭什么？,,,
,,潘盈袖看了弟弟一眼，道：“我倒是有个主意，暂且由我弟弟潘云锋来担任陆家少主，主持大局，如此一来，潘家必会全力帮忙！”,,,
,,让潘云锋当陆家少主？,,,
,,众人无不惊愕，差点怀疑听错，这何其荒诞！,,,
,,陆夜眉头悄然皱起，不对劲！,,,
,,“我弟弟最受潘家长辈器重，有他主持陆家大局，无论发生何事，潘家断不会坐视不管！”,,,
,,潘盈袖语气不疾不徐道，“更何况我弟弟只是暂时成为陆家少主罢了，以后自会把位置还给陆家。”,,,
,,潘云锋冷笑道：“姐，我可不稀罕什么陆家少主之位，还是让他们自生自灭吧！”,,,
,,啪！,,,
,,潘盈袖一巴掌打在潘云锋脸上，厉声道：“我早已是陆家人！陆家的事，就是我的事，这个忙，你必须帮！”,,,
,,潘云锋捂着脸闭嘴。,,,
,,一些陆家族人都被惊到。,,,
,,“无需再废话，唯有如此，才能化解陆家危机！”,,,
,,潘盈袖眸光扫视陆家众人，一字一顿道，“我最后只问一句，谁赞成，谁反对？”,,,
,,陆家众人神色变幻，隐约明白过来，心中悲愤、苦涩、不甘、无奈，不一而足。,,,
,,而此时，一直盯着弟弟陆夜棺材默默落泪的陆霄，终于扭头，看了妻子潘盈袖一眼。,,,
,,那眼神中除了浓烈的厌憎，还有深深的无力和悲哀。,,,
,,陆夜脑海则浮现八个字：,,,
,,外戚篡权，鸠占鹊巢。,,,
,,原来，这才是大嫂真正的目的！,,,
,,灵堂中一片死寂，都被潘盈袖的威势震慑。,,,
,,气氛压抑到极致，让人几欲窒息。,,,
,,砰！,,,
,,蓦地，一声巨响。,,,
,,灵堂一口棺材的棺盖四分五裂。,,,
,,一只白皙大手从棺材内伸出来。,,,
,,“我反对！”,,,
,,——,,,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“我艹！诈尸？”,3,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,潘云锋猛地跳脚。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,众人都被惊到，目光齐齐看过去。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,灵堂内香烛青烟弥漫，雪白帷布飘动，破碎的棺盖散落一地，一个玄衣少年缓缓从棺材中站起。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他身影挺拔修长，肤色白皙，俊秀的脸庞棱角分明。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,供桌上的烛光洒在少年身上，光影交错，平添一丝神秘虚幻。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,赫然是今天辰时逝世的陆夜！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“是二少爷！他又活回来了！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“这不是做梦吧？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“我就知道二少爷命硬，老天爷都收不走！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,……这一刻，哗然四起，陆家族人欣喜若狂。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“姐，你看到了么，那家伙诈尸了！”,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,潘云锋瞠目道。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“不必担心，一切有我。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,潘盈袖面对弟弟时，眸光温婉柔和，语气中尽显自信。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,只要不是那些陆家老家伙诈尸，只一个陆夜，掀不起风浪！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“哥，我先去给爷爷他们上香。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜走出棺材，到大哥陆霄面前，轻轻拍了拍陆霄手臂。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,凝视着近在咫尺的弟弟，陆霄恍如做梦，激动得嘴唇颤抖，语无伦次道：“好，好，好！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜强自按捺住心中翻涌的情绪，转身来到灵位前，插上三炷香点燃，在供桌前叩首于地。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,看着跪在那祭奠的玄衣少年，陆家族人从激动狂喜中渐渐安静下来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,二少爷昏睡三年，死而复生，让他们重新看到了希望！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“爷爷，各位长辈，我从域外战场带回了先祖所留的‘玄金玉牒’，足可开启祖地秘境，可你们却再看不到了……”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜跪在那，强忍心中悲伤，心中低语。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“不管你们是如何战死，他日我必为你们报仇！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“你们放心，陆家有我，天，不会塌！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,当一袭玄衣的少年站起身时，神色已平静如湖，再无波澜。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,而此时，潘盈袖终于开口：“二弟死而复生，是咱们陆家天大的喜事，可我不明白，二弟为何要反对我的提议。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜转身看向大嫂，不假思索道：“潘家愿意帮陆家，我岂会拒绝？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,下一刻，就见陆夜直接下达命令：
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“传出去，以我大嫂的名义宣布，以后我陆家有潘家罩着！谁敢趁火打劫，先掂量掂量后果！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“记住，要让天河郡城所有人知道！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“是！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一个机灵的族人领命而去。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,潘盈袖和潘云锋皆错愕。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,谁给他先斩后奏的胆子？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,当想阻拦时，已来不及，姐弟俩脸色都阴沉下来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“大嫂别多想，我反对的，是把少族长位置让出去！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜认真道，“我是宗族长辈钦定的少主，如今我既然还活着，自当担起少主的职责！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“陆夜，你还不明白么？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,潘盈袖秀眉皱起，语气变得凌厉，“只有我弟弟担任陆家少主，潘家才会尽全力帮咱们化解危机！“
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“你若真替家族着想，就该主动让位！而不是为了一己之私，陷宗族于危难之中！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,说完，她不着痕迹地瞥了一眼人群中的三执事陆山。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,陆山当即站出来，沉声道：“少夫人说的不错！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,旋即，他看向陆夜，苦口婆心劝道，“二少爷，若无潘家帮忙，咱们陆家必将沦为盘中餐，被人瓜分！为了家族，你姑且让出少主位置，有何不可？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“陆山，你在说什么！！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,许多陆家族人大怒。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆山刚才一直在帮潘盈袖说话，恨不能把宗族大权拱手相让。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,如今二少爷都已活过来，陆山竟还这么做，让谁能不恼？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“既然大嫂把话挑明了，那我也代表陆家表个态。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,没有理会陆山，陆夜盯着大嫂，一字一顿道，“无论谁想染指陆家的权柄，先过我陆夜这一关！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“不识好歹！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,潘盈袖眼神骤然变得幽冷慑人，厉声道，“你昏睡三年而死，如今是人是鬼都不知道，能代表整个陆家？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,任谁都看出，潘盈袖怒了！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,可就在这一刻——
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“能！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆家一众族人齐齐大喝。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一个字，平地起惊雷，响彻灵堂内外，震得屋顶瓦片簌簌作响。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,潘盈袖错愕，又惊又怒，根本没想到，陆家上下会如此认可陆夜，甚至不惜和自己对峙！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,潘云锋更是浑身一哆嗦，脸都白了，被陆家族人上下一心的恐怖气势所慑。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“你们疯了！跟着起什么乱！少夫人是在帮我们！没有潘家支援，陆家拿什么化解危机？”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,三执事陆山气急败坏，连连跺脚，“二少爷，你……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,锵！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一把长刀出现陆夜掌间，刀尖直抵陆山咽喉。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,潘盈袖双眸微眯，盯着陆夜，“你动他试试，我……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,噗！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,伴随一抹泛着绯红色的刀光一闪。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,陆山的头颅抛空而起！,6,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,滚烫刺眼的鲜血随之喷洒四周。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他的身躯砰的一声倒在地上，头颅滚落一侧，满脸惊愕。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“逝了，大嫂还要什么要说的？”,5,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,旁边，十七岁的陆夜身影挺拔，玄衣如墨，手中三尺刀锋在淌血，滴滴答答落在地上。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一些鲜血洒在少年脸庞，给他俊秀的五官平添几分凶厉气息。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,潘盈袖玉容一阵变幻，连她被陆夜的狠辣惊到。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“对宗族忠诚不绝对，就是绝对不忠诚，陆山，死不足惜！”,6,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜抬起指尖，轻轻抹掉脸庞上沾染的血水。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,所有人瞪大眼睛，愣在那。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,修炼一道的最初阶段，分作引灵、紫府、金台、玄炉、黄庭五大境界。,7,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,每一境之间各有神妙，相差悬殊，判若鸿沟。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,第一境“引灵”分作九重。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,第二境“紫府”分作九炼。,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,三执事陆山，乃是紫府三炼修为，已是陆家的精锐干将。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,而在人们印象中，二少爷是引灵第九重修为，并且已昏睡三年之久，还不知修为是否受损。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,可此时，他却在拔刀之间，干脆利落杀了三执事陆山！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一切发生太快，也太出人意料！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,甚至没人看到，那把三尺长刀是如何出现在陆夜手中的。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,灵堂内外，鸦雀无声。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,唯有香烛烟雾弥漫。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“姐，不必再跟他们废话，在绝对实力面前，任何挣扎都将被碾压！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,冷不丁地，潘云锋走了出来，盯着陆夜道，“我们不装了，摊牌了，我们潘家就是要掌控你们陆家！不服？憋着！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,砰！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,陆夜刀柄倒转，狠狠砸在潘云锋脑袋上。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,潘云锋脑门剧痛，眼前发黑，直挺挺昏厥倒地。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“抱歉，没憋住。”,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜扭头盯着潘盈袖。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,说话时，手中刀锋早已抵在潘云锋脖颈处，“接下来，大嫂最好安分点，也别再说话，万一我手滑……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,潘盈袖美眸收缩，俏脸铁青，万没想到，陆夜竟猖狂到敢当着自己的面挟持弟弟！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,投鼠忌器，潘盈袖尽管气得胸腔欲裂，却只能忍着。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜目光一扫陆家所有族人，道：
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“如今，宗族内忧外患，深陷困境，事急从权，我决定自此刻起，由我来继承家主之位，主持大局！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,少年身影挺拔，眉目如手中刀锋般慑人。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,陆夜竟然还要当家主？,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,此话一出，简直石破天惊！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“我话说完，谁赞成，谁反对？”,3,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,字字铿锵如碎冰落地，在这弥漫着血腥的灵堂内外久久回荡。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,夜已深，空中飘着丝丝细雨。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,回到自己房间后，陆夜拎着一壶酒，仰头畅饮了一大口。,7,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,在他小时候，作为家主的父亲陆天渊就和母亲姜素雪一起离开宗族。,4,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,至今已有十三年，音讯全无。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,当时，陆家所有老人还是一致决定，除非家主陆天渊死，否则家主之位会一直为陆天渊留着。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,像大嫂潘盈袖妄图篡权，也仅仅只是想夺取少主之位，间接掌控陆家大权。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,不过，今天在灵堂之上，陆夜已成为家主。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆家族人没有一人反对！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜能感受到，大哥和陆家那些族人是由衷地为自己高兴。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,大哥还亲手把祖传铜印交给了自己。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,唯有潘盈袖和其弟弟潘云锋最为憋屈，今天离开灵堂时，脸色一个比一个难看。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,这时候，一个老仆前来拜见，禀报道：“少夫人说了，如今二少爷已是家族之主，希望二少爷能尽快把赊月楼的事情解决了。”,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“这是赊月楼的一本账簿。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,老仆把一本账簿双手呈给陆夜。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜皱眉道：“赊月楼怎么了？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,赊月楼，既是陆家的一座典当行。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,也是陆家最初扎根在天河郡城时的一块祖地。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,最重要的是，赊月楼后边的祖宅中，藏着一个大秘密！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,老仆连忙回应道：“七天前，赊月楼被秦无伤霸占了。”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“秦伯父？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜一怔，眉头皱起。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,九岁那年，在宗族长辈撮合下，他与千年世家秦氏的嫡女订亲。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他的“未来岳父”，便是秦氏族长，秦无伤！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,在整个苍州境内，秦无伤都属于最顶级的大人物，拥有修行第四境“玄炉境”修为。,5,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,名副其实的一位“人间武宗”！,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这样一个强大存在，怎会侵占陆家的赊月楼？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“你退下吧。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,半晌，陆夜挥手让老仆离开。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,潘盈袖让自己去找秦无伤算账，分明不安好心。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,可最终，陆夜还是决定，明天就去见一见秦无伤。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,因为赊月楼陆家祖宅中所藏的秘密，足以影响陆家上下所有人的命运。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,不容有失！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“若是二叔还在就好了……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜心中喃喃。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,他的二叔名叫陆星移。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一个在大乾天下叱咤风云的巨擘。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,号称“玄炉剑魁”！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,其修为在第四境玄炉层次，是名震大乾的“人间武宗”之一。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆星移一个人，便撑起了陆家的半边天，让陆家从一个三流小家族一跃成为四品家族！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,然而，按照大哥陆霄所说，在贪狼关一战之后，二叔就离奇消失了！,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“贪狼关一战，究竟藏有多少不为人知的隐情？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜陷入沉思。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,半个月前，大乾北境的“巫妖族”忽然调遣大军，大举入侵贪狼关。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,十天前，陆家老人接到一封来自陆星移的密信，当天便起程离开，没人知道他们去了何处。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,七天前，贪狼关沦陷，大乾这边全军覆没。也是当天，陆家那些老人全部为国牺牲的消息，传回了陆家。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这件事，有着太多的蹊跷和疑点，可惜大哥陆霄也不了解真相，无法为陆夜解惑。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,陆夜只能推断出，无论是二叔陆星移离奇消失，还是陆家那些老人全部战死在贪狼关，必然另有隐情！,3,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,很快，陆夜收起账簿，盘膝而坐，周身气机随之轰鸣运转。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一缕缕淡青色的元气在其肌肤上氤氲而出，虚幻空灵。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,引灵、紫府、金台、玄炉、黄庭！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,随着陆夜静心感应，灰濛濛的神魂识海中，十九颗星辰高悬，各自散发出不同的神韵和恐怖气息。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,有的灿若大日，光芒璀璨。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,有的冷冽如冰雪，飘洒如梦似幻的寒光。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,不一而足。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,那是十九位祖师级人物的意志封印！,3,
